symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
TITAN,TRENT,TRENT,TITAN,2021-10-12,2021-10-13,2021-10-29,2021-10-28,rollover,1125.15,1037.5,2536.0,2374.9,-8.100350322970275,6.1682056845425794,-0.9660723192138478,0.3102778881837977,0.18431797476340694,2021-10-28,False
HDFCLIFE,ICICIGI,ICICIGI,HDFCLIFE,2021-10-05,2021-10-06,2021-10-12,2021-10-13,reverted,1559.0,1533.55,737.55,704.6,-1.9521940805837052,4.281483751610057,1.1646448355131755,0.3197373775689545,0.18600997762863533,2021-10-28,False
SBILIFE,ICICIGI,ICICIGI,SBILIFE,2021-10-05,2021-10-06,2021-10-14,2021-10-18,reverted,1559.0,1539.7,1271.95,1206.85,-1.5583164532520792,4.9326997421282375,1.6871916444380792,0.3203433935984606,0.18542597036047015,2021-10-28,False
TATACHEM,SRF,TATACHEM,SRF,2021-11-26,2021-11-29,2021-11-30,2021-12-01,window_end,853.0,880.9,2061.35,2031.0,2.943539008042212,1.2836376593009404,2.113588333671576,0.32726990168815945,0.1886984311252335,2021-12-30,False
BAJFINANCE,SBICARD,SBICARD,BAJFINANCE,2021-11-29,2021-11-30,2021-11-30,2021-12-01,window_end,940.0,965.0,6851.0,7050.05,2.3332435606383046,-3.0980431685885303,-0.38239980397511286,0.3263309074468085,0.1926279007444169,2021-12-30,False
BAJAJFINSV,SBICARD,SBICARD,BAJAJFINSV,2021-11-29,2021-11-30,2021-11-30,2021-12-01,window_end,940.0,965.0,16984.2,17399.85,2.3332435606383046,-2.639491199349977,-0.1531238193558362,0.3263309074468085,0.1922166736143003,2021-12-30,False
ADANIPORTS,CONCOR,CONCOR,ADANIPORTS,2021-11-24,2021-11-25,2021-11-30,2021-12-01,reverted,631.0,626.0,764.9,670.0,-1.1134209321711566,12.227966957772255,5.557273012800549,0.32102790522979396,0.17888361092953325,2021-12-30,True
APOLLOHOSP,SUNPHARMA,SUNPHARMA,APOLLOHOSP,2021-11-03,2021-11-04,2021-11-30,2021-11-25,rollover,797.0,775.6,4448.95,5702.3,-3.00318933595985,-28.387122843592323,-15.695156089776086,0.31812032717691346,0.21530702188156756,2021-11-25,False
APOLLOHOSP,DRREDDY,DRREDDY,APOLLOHOSP,2021-11-15,2021-11-16,2021-11-30,2021-12-01,window_end,4901.0,4696.0,5091.0,5729.9,-4.498639276106911,-12.7508818471813,-8.624760561644106,0.3158194434197103,0.20128451856216853,2021-12-30,True
SUNPHARMA,DRREDDY,SUNPHARMA,DRREDDY,2021-11-26,2021-11-29,2021-11-30,2021-12-01,window_end,773.0,756.75,4831.5,4718.8,-2.4212149706985717,2.1446826703922097,-0.138266150153181,0.31901574689521345,0.18792625023284695,2021-12-30,False
ULTRACEMCO,GRASIM,GRASIM,ULTRACEMCO,2021-11-30,2021-12-01,2021-11-30,,no_fill,,,7530.0,,,,,,,2021-12-30,False
ULTRACEMCO,AMBUJACEM,AMBUJACEM,ULTRACEMCO,2021-11-18,2021-11-22,2021-11-30,2021-12-01,window_end,400.85,379.6,7805.6,7530.0,-5.615336181040291,3.3439476457927646,-1.1356942676237634,0.314101305151553,0.18685075535512966,2021-12-30,True
TATASTEEL,SAIL,TATASTEEL,SAIL,2021-11-02,2021-11-03,2021-11-10,2021-11-11,reverted,1324.8,1304.9,119.95,118.65,-1.8220511407155684,0.8947377157148827,-0.46365671250034285,0.31993761414553146,0.1890471946644435,2021-11-25,False
TATASTEEL,VEDL,TATASTEEL,VEDL,2021-11-22,2021-11-23,2021-11-30,2021-12-01,window_end,1168.05,1092.0,344.75,344.9,-6.823094479799662,-0.23356884408990417,-3.528331661944783,0.3122430607679466,0.1900590543872371,2021-12-30,True
SAIL,VEDL,SAIL,VEDL,2021-11-22,2021-11-23,2021-11-30,2021-12-01,window_end,107.3,101.8,344.75,344.9,-5.440186259645854,-0.23356884408990417,-2.836877551867879,0.3143707890027959,0.1900590543872371,2021-12-30,True
MARUTI,M&M,M&M,MARUTI,2021-11-02,2021-11-03,2021-11-09,2021-11-10,reverted,864.0,905.9,7818.95,7577.65,4.519841852152774,2.8988421986328134,3.7093420253927936,0.32969518488425925,0.1872499237109842,2021-11-25,False
MARUTI,ASHOKLEY,MARUTI,ASHOKLEY,2021-11-15,2021-11-16,2021-11-30,2021-12-01,window_end,7545.0,7191.0,154.15,120.25,-5.006886366282306,21.821286286084984,8.40719995990134,0.31503745972167,0.17028036976970481,2021-12-30,True
M&M,ASHOKLEY,M&M,ASHOKLEY,2021-11-01,2021-11-02,2021-11-10,2021-11-11,reverted,875.0,918.95,146.1,149.35,4.692895699120008,-2.4165204791238937,1.1381876099980572,0.32996144373714287,0.19201671457905545,2021-11-25,False
SBIN,HDFCBANK,HDFCBANK,SBIN,2021-11-03,2021-11-04,2021-11-16,2021-11-17,reverted,1595.0,1536.9,530.05,493.75,-3.9592825209655116,6.6645376605980475,1.352627569816268,0.31664929212539183,0.18387286671068767,2021-11-25,False
SBIN,HDFCBANK,SBIN,HDFCBANK,2021-11-29,2021-11-30,2021-11-30,2021-12-01,window_end,468.0,464.45,1498.5,1496.15,-1.0796269089102537,-0.03305574507841419,-0.5563413269943339,0.32107990036324785,0.18987923523523526,2021-12-30,False
HDFCBANK,ICICIBANK,ICICIBANK,HDFCBANK,2021-11-26,2021-11-29,2021-11-30,2021-12-01,window_end,726.75,716.4,1494.45,1496.15,-1.7442059926935016,-0.30387632975343204,-1.0240411612234668,0.32005738588235294,0.1901221057914283,2021-12-30,False
LT,BHEL,BHEL,LT,2021-11-10,2021-11-11,2021-11-30,2021-11-25,rollover,67.1,62.4,1951.05,1849.85,-7.315955688524589,5.0015864232080185,-1.1571846326582853,0.31148474962742184,0.1853641931267779,2021-11-25,False
BHEL,POLYCAB,BHEL,POLYCAB,2021-11-10,2021-11-11,2021-11-25,2021-11-25,rollover,67.1,62.4,2480.1,2347.2,-7.315955688524589,5.1734448215797775,-1.0712554334724058,0.31148474962742184,0.18521007136809003,2021-11-25,False
