strategy,symbol,n_trades,mean_net_pct,total_net_pct
mean_reversion re-test (honest execution) [primary/train],EIDPARRY,14,-3.2386439920968373,-45.341015889355724
mean_reversion re-test (honest execution) [primary/train],EKC,39,-2.9835316623019956,-116.35773482977783
mean_reversion re-test (honest execution) [primary/train],ELDERPHARM,4,2.0115849884933996,8.046339953973598
mean_reversion re-test (honest execution) [primary/train],ELECTCAST,11,-2.8877075179690674,-31.764782697659744
mean_reversion re-test (honest execution) [primary/train],EMAMILTD,25,1.4582037918898445,36.45509479724611
mean_reversion re-test (honest execution) [primary/train],ENGINERSIN,27,-2.6221017336457835,-70.79674680843615
mean_reversion re-test (honest execution) [primary/train],ERACONS,3,10.076799375985049,30.230398127955148
mean_reversion re-test (honest execution) [primary/train],ERAINFRA,12,-9.496666522454342,-113.9599982694521
mean_reversion re-test (honest execution) [primary/train],EROSMEDIA,26,-1.8049805160798944,-46.92949341807726
mean_reversion re-test (honest execution) [primary/train],ESABINDIA,5,-5.111701179031589,-25.558505895157943
mean_reversion re-test (honest execution) [primary/train],ESCORTS,82,-1.1167091356355434,-91.57014912211456
mean_reversion re-test (honest execution) [primary/train],ESSAROIL,77,1.9947883847880563,153.59870562868034
mean_reversion re-test (honest execution) [primary/train],ESSDEE,4,2.3406685731469072,9.362674292587629
mean_reversion re-test (honest execution) [primary/train],ESTL,2,-1.4575017467213824,-2.915003493442765
mean_reversion re-test (honest execution) [primary/train],EVERONN,46,-0.3901328165180337,-17.94610955982955
mean_reversion re-test (honest execution) [primary/train],EXIDEIND,53,-0.9105182029419889,-48.25746475592541
mean_reversion re-test (honest execution) [primary/train],FDC,5,-2.9252877431948834,-14.626438715974418
mean_reversion re-test (honest execution) [primary/train],FEDERALBNK,88,-0.7038534824650488,-61.93910645692429
mean_reversion re-test (honest execution) [primary/train],FINANTECH,80,-1.3659357850676765,-109.27486280541412
mean_reversion re-test (honest execution) [primary/train],FINCABLES,1,-1.4508279232712828,-1.4508279232712828
mean_reversion re-test (honest execution) [primary/train],FINPIPE,14,-3.0721920440735464,-43.01068861702965
mean_reversion re-test (honest execution) [primary/train],FLEX,5,-7.197721048201163,-35.988605241005814
mean_reversion re-test (honest execution) [primary/train],FORTIS,36,-1.6371512905903736,-58.93744646125345
mean_reversion re-test (honest execution) [primary/train],FOURSOFT,6,-1.495568657726986,-8.973411946361916
mean_reversion re-test (honest execution) [primary/train],FRL,13,3.520602417713155,45.767831430271016
mean_reversion re-test (honest execution) [primary/train],FSL,21,-0.6826090879020026,-14.334790845942054
mean_reversion re-test (honest execution) [primary/train],GAIL,77,0.7898620232431394,60.81937578972173
mean_reversion re-test (honest execution) [primary/train],GAMMONIND,22,-3.5193712225380605,-77.42616689583733
mean_reversion re-test (honest execution) [primary/train],GATI,24,-1.7572046219007278,-42.172910925617465
mean_reversion re-test (honest execution) [primary/train],GDL,32,-4.418280586604469,-141.38497877134301
mean_reversion re-test (honest execution) [primary/train],GEOINFO,11,0.7081651321169216,7.789816453286137
mean_reversion re-test (honest execution) [primary/train],GEOJIT,4,-1.9249436599518068,-7.699774639807227
mean_reversion re-test (honest execution) [primary/train],GEOMETRIC,7,-0.084014639089273,-0.588102473624911
mean_reversion re-test (honest execution) [primary/train],GEORGWILIM,4,-10.139717590734815,-40.55887036293926
mean_reversion re-test (honest execution) [primary/train],GESCOCORP,11,-0.09612960746375326,-1.057425682101286
mean_reversion re-test (honest execution) [primary/train],GESHIP,29,0.6747430767903934,19.567549226921408
mean_reversion re-test (honest execution) [primary/train],GESHIPPING,11,-0.13206183748532743,-1.4526802123386018
mean_reversion re-test (honest execution) [primary/train],GHCL,33,1.6646042139859412,54.931939061536056
mean_reversion re-test (honest execution) [primary/train],GIPCL,7,4.1802494509232515,29.261746156462763
mean_reversion re-test (honest execution) [primary/train],GITANJALI,38,-5.698082773497154,-216.52714539289184
mean_reversion re-test (honest execution) [primary/train],GLAXO,42,-1.9961397794962963,-83.83787073884444
mean_reversion re-test (honest execution) [primary/train],GLENMARK,73,0.8690228732291778,63.43866974572998
mean_reversion re-test (honest execution) [primary/train],GLODYNE,18,-2.160896870071122,-38.89614366128019
mean_reversion re-test (honest execution) [primary/train],GMDCLTD,31,-3.295284356972167,-102.15381506613718
mean_reversion re-test (honest execution) [primary/train],GMRINFRA,106,-1.6654813335264496,-176.54102135380364
mean_reversion re-test (honest execution) [primary/train],GNFC,27,-1.4798848116144154,-39.956889913589215
mean_reversion re-test (honest execution) [primary/train],GODFRYPHLP,8,-0.2529082602521472,-2.0232660820171775
mean_reversion re-test (honest execution) [primary/train],GODREJCP,25,1.0185037012691571,25.46259253172893
mean_reversion re-test (honest execution) [primary/train],GODREJIND,68,-0.8566335593534129,-58.251082036032074
mean_reversion re-test (honest execution) [primary/train],GOETZEIND,2,4.222908806337067,8.445817612674134
mean_reversion re-test (honest execution) [primary/train],GOLDBEES,26,0.16795745591647732,4.36689385382841
mean_reversion re-test (honest execution) [primary/train],GPPL,13,2.6369918528490404,34.280894087037524
mean_reversion re-test (honest execution) [primary/train],GRANULES,19,0.022449935747788904,0.42654877920798917
mean_reversion re-test (honest execution) [primary/train],GRASIM,95,-1.797740870916175,-170.78538273703663
mean_reversion re-test (honest execution) [primary/train],GRAVITA,7,0.9627919899385067,6.739543929569547
mean_reversion re-test (honest execution) [primary/train],GRUH,7,0.3990375629875244,2.793262940912671
mean_reversion re-test (honest execution) [primary/train],GSFC,13,1.6516008490003873,21.470811037005035
mean_reversion re-test (honest execution) [primary/train],GSKCONS,11,-0.40568137851531233,-4.462495163668436
mean_reversion re-test (honest execution) [primary/train],GSPL,56,-1.3511250389836549,-75.66300218308467
mean_reversion re-test (honest execution) [primary/train],GTCIND,12,-7.191427628000889,-86.29713153601067
mean_reversion re-test (honest execution) [primary/train],GTL,28,-0.2069004832394316,-5.793213530704085
mean_reversion re-test (honest execution) [primary/train],GTLINFRA,22,0.8378621353466421,18.432966977626126
mean_reversion re-test (honest execution) [primary/train],GTOFFSHORE,20,-1.5888006843577827,-31.776013687155654
mean_reversion re-test (honest execution) [primary/train],GUJALKALI,39,-2.230048091817142,-86.97187558086853
mean_reversion re-test (honest execution) [primary/train],GUJAMBCEM,13,-0.8730352263320016,-11.34945794231602
mean_reversion re-test (honest execution) [primary/train],GUJFLUORO,14,-1.8424905336962123,-25.794867471746972
mean_reversion re-test (honest execution) [primary/train],GUJNRECOKE,50,-2.1231423560086826,-106.15711780043414
mean_reversion re-test (honest execution) [primary/train],GUJSIDHCEM,5,-4.540450250524918,-22.702251252624592
mean_reversion re-test (honest execution) [primary/train],GVKPIL,71,-2.8008495306321115,-198.86031667487993
mean_reversion re-test (honest execution) [primary/train],GWALCHEM,5,-15.41291202398845,-77.06456011994226
mean_reversion re-test (honest execution) [primary/train],HANUNG,15,-4.076851785572123,-61.15277678358186
mean_reversion re-test (honest execution) [primary/train],HARRMALAYA,6,-3.7801107699170076,-22.680664619502046
mean_reversion re-test (honest execution) [primary/train],HAVELLS,42,-0.5028464862237625,-21.119552421398023
mean_reversion re-test (honest execution) [primary/train],HCC,67,-2.4410120596832336,-163.54780799877665
mean_reversion re-test (honest execution) [primary/train],HCL-INSYS,30,-3.5306481808736896,-105.91944542621069
mean_reversion re-test (honest execution) [primary/train],HCLTECH,74,-0.27499077793136795,-20.34931756692123
mean_reversion re-test (honest execution) [primary/train],HDFC,77,0.9270370586309246,71.3818535145812
mean_reversion re-test (honest execution) [primary/train],HDFCBANK,72,-0.18899382910904572,-13.607555695851293
mean_reversion re-test (honest execution) [primary/train],HDIL,83,-1.5532692721370116,-128.92134958737196
mean_reversion re-test (honest execution) [primary/train],HEROHONDA,42,0.6958563987971855,29.225968749481794
mean_reversion re-test (honest execution) [primary/train],HEROMOTOCO,33,-1.1986517179092133,-39.55550669100404
mean_reversion re-test (honest execution) [primary/train],HEXAWARE,72,-1.677972036739244,-120.81398664522558
mean_reversion re-test (honest execution) [primary/train],HFCL,8,3.2697186360121533,26.157749088097226
mean_reversion re-test (honest execution) [primary/train],HIMACHLFUT,30,2.3799961528280194,71.39988458484058
mean_reversion re-test (honest execution) [primary/train],HIMATSEIDE,4,-0.5923865167172804,-2.3695460668691215
mean_reversion re-test (honest execution) [primary/train],HINDALC0,14,-1.1033896079977799,-15.447454511968918
mean_reversion re-test (honest execution) [primary/train],HINDALCO,78,-1.790147608902645,-139.6315134944063
mean_reversion re-test (honest execution) [primary/train],HINDCONS,8,-6.090935018736702,-48.727480149893616
mean_reversion re-test (honest execution) [primary/train],HINDCOPPER,32,-2.8340231629138506,-90.68874121324322
mean_reversion re-test (honest execution) [primary/train],HINDLEVER,18,0.2695217674274476,4.851391813694057
mean_reversion re-test (honest execution) [primary/train],HINDMOTOR,22,-0.6948889631621081,-15.28755718956638
mean_reversion re-test (honest execution) [primary/train],HINDOILEXP,75,-1.8692406792203071,-140.19305094152304
mean_reversion re-test (honest execution) [primary/train],HINDPETRO,89,-0.8048407604772505,-71.6308276824753
mean_reversion re-test (honest execution) [primary/train],HINDUNILVR,53,0.7558559291391558,40.06036424437526
mean_reversion re-test (honest execution) [primary/train],HINDZINC,62,-0.796505339034108,-49.383331020114696
mean_reversion re-test (honest execution) [primary/train],HITACHIHOM,5,-2.9299560712436348,-14.649780356218173
mean_reversion re-test (honest execution) [primary/train],HMT,14,-4.960747134066645,-69.45045987693304
mean_reversion re-test (honest execution) [primary/train],HOTELEELA,39,-0.8703576610375887,-33.94394878046596
mean_reversion re-test (honest execution) [primary/train],HTMT,8,4.779237290382627,38.23389832306101
