pair,entry,exit_reason,pnl_pct
DABUR/ITC,2015-10-06,reverted,-1.8462692406970571
CIPLA/FORTIS,2015-11-09,reverted,2.118617451610816
BHARATFORG/EICHERMOT,2015-11-09,reverted,1.9389992322758731
INFY/PERSISTENT,2015-11-18,reverted,2.6495782172092253
CESC/POWERGRID,2015-11-06,reverted,2.1039683508855154
APOLLOHOSP/DIVISLAB,2015-12-10,reverted,1.4218169303097605
AMBUJACEM/SHREECEM,2015-12-24,window_end,2.683623103599597
COLPAL/NESTLEIND,2016-01-07,reverted,2.1147645829193094
COLPAL/NESTLEIND,2016-01-25,window_end,-0.6744240847540439
BANKINDIA/PNB,2016-01-22,window_end,-0.4253235866139071
JSWSTEEL/SAIL,2016-01-14,window_end,-4.526803786778139
CIPLA/TORNTPHARM,2016-01-08,reverted,1.1042643381866502
CIPLA/TORNTPHARM,2016-01-15,reverted,1.6969836216983059
CIPLA/TORNTPHARM,2016-01-22,window_end,0.003632360659433509
SAIL/TATASTEEL,2016-02-10,window_end,-6.6174309580873665
BAJAJ-AUTO/CUMMINSIND,2016-02-02,reverted,3.058772331818993
BAJAJ-AUTO/CUMMINSIND,2016-02-18,window_end,-0.16792551169739212
BANKBARODA/FEDERALBNK,2016-02-15,reverted,5.735655141859058
EICHERMOT/EXIDEIND,2016-01-29,reverted,-3.38793250778191
BPCL/RELIANCE,2016-03-17,window_end,-0.8437344512429612
CESC/POWERGRID,2016-02-29,reverted,0.048739963129107444
BAJAJ-AUTO/MRF,2016-03-01,reverted,-0.019697438062282746
BAJAJ-AUTO/MRF,2016-03-29,window_end,-0.7228430294589971
BHARATFORG/MRF,2016-04-06,reverted,2.3552803189912708
BANKBARODA/FEDERALBNK,2016-03-31,reverted,-1.8605515403147255
BIOCON/SUNPHARMA,2016-04-05,window_end,-4.858867424656898
IDBI/INDUSINDBK,2016-04-29,reverted,-4.00370007333537
AUROPHARMA/SUNPHARMA,2016-05-03,reverted,0.9366632131503849
AUROPHARMA/SUNPHARMA,2016-05-27,window_end,5.224518557090563
ICICIBANK/PNB,2016-05-16,window_end,-1.9685898606519814
BAJAJFINSV/RECLTD,2016-06-01,reverted,2.364287140398452
BAJAJFINSV/RECLTD,2016-06-16,window_end,-3.4883695842256035
TCS/WIPRO,2016-06-02,reverted,1.782499693151729
TCS/WIPRO,2016-06-27,window_end,0.2390571450798018
ICICIBANK/INDUSINDBK,2016-06-07,reverted,1.971278563764367
JINDALSTEL/TATASTEEL,2016-06-14,window_end,-2.6539171706889855
JINDALSTEL/JSWSTEEL,2016-07-04,reverted,1.9142212261753389
JINDALSTEL/JSWSTEEL,2016-07-15,window_end,6.350040316422467
LUPIN/WOCKPHARMA,2016-07-07,reverted,1.8663284783790202
FEDERALBNK/KOTAKBANK,2016-07-04,reverted,1.8401232662777933
FEDERALBNK/KOTAKBANK,2016-07-25,window_end,1.0379532937345726
ASIANPAINT/DABUR,2016-07-29,reverted,-1.4943458938222964
BANKBARODA/PNB,2016-08-10,reverted,4.703258562032681
BANKBARODA/YESBANK,2016-08-01,reverted,2.4897963714881177
HINDPETRO/IGL,2016-09-14,window_end,2.2038222179576294
INFY/TCS,2016-09-07,reverted,-0.3100945394459875
HINDUNILVR/JUBLFOOD,2016-09-06,reverted,-1.1327476291362104
IDBI/INDUSINDBK,2016-10-21,window_end,0.9589318371345135
BANKBARODA/HDFCBANK,2016-11-03,reverted,1.7339054845371071
BANKBARODA/HDFCBANK,2016-11-15,window_end,0.7139976522947733
TATAELXSI/TCS,2016-12-05,reverted,-0.15984441891979673
JINDALSTEL/TATASTEEL,2016-12-13,reverted,1.4833210031892363
BAJAJ-AUTO/BOSCHLTD,2016-12-30,window_end,0.0
