symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
SUZLON,2010-02-18,2010-02-18,70.7,63.96076251404982,87.54809371487545,2010-03-03,73.1,time,8,141,3.3946251768033786,3.0671650653465186,0.3274601114568599
YESBANK,2010-02-18,2010-02-18,236.0,216.43542717058187,284.9114320735453,2010-03-03,247.0,time,8,42,4.661016949152552,4.3316113737288235,0.3294055754237289
AUSTRAL,2010-02-19,2010-02-19,7.0,6.29174735442637,8.770631613934075,2010-02-23,6.29174735442637,stop,2,1428,-10.117894936766147,-10.424596763499018,0.3067018267328715
BALRAMCHIN,2010-02-19,2010-02-19,107.1,96.58857772884437,133.37855567788904,2010-03-04,110.0,time,8,93,2.7077497665733086,2.3813448509804047,0.32640491559290385
DHAMPURSUG,2010-02-19,2010-02-19,116.85,103.00876112812183,151.45309717969542,2010-02-23,103.00876112812183,stop,2,85,-11.845304982351868,-12.14935311686005,0.30404813450818147
DLF,2010-02-19,2010-02-19,291.1,263.76985487203723,359.42536281990704,2010-03-04,299.85,time,8,34,3.0058399175540984,2.678977068120914,0.3268628494331845
EXIDEIND,2010-02-19,2010-02-19,107.2,98.24989533868049,129.5752616532988,2010-03-04,111.8,time,8,93,4.29104477611939,3.9622075615671517,0.3288372145522388
GSPL,2010-02-19,2010-02-19,87.25,81.36869739453316,101.9532565136671,2010-03-04,89.8,time,8,114,2.9226361031518655,2.5959010735816648,0.32673502957020056
GVKPIL,2010-02-19,2010-02-19,41.95,38.4447439280116,50.71314017997102,2010-03-04,44.25,time,8,238,5.48271752085816,5.152049627651962,0.3306678932061978
HDIL,2010-02-19,2010-02-19,302.35,272.78536551898975,376.2615862025257,2010-03-04,309.0,time,8,33,2.199437737721177,1.8738137042831087,0.32562403343806845
IBREALEST,2010-02-19,2010-02-19,155.05,133.47625615900822,208.98435960247946,2010-03-04,166.4,time,8,64,7.320219284101892,6.986728572911954,0.3334907111899387
INDIABULLS,2010-02-19,2010-02-19,99.95,89.56298919539175,125.91752701152063,2010-03-04,111.0,time,8,100,11.055527763881944,10.716298774687347,0.33922898919459726
KOTAKBANK,2010-02-19,2010-02-19,730.0,667.798632599743,885.5034185006425,2010-03-04,762.0,time,8,13,4.383561643835621,4.054582302465757,0.328979341369863
MINDTREE,2010-02-19,2010-02-19,524.05,471.63070665546667,655.0982333613332,2010-03-04,555.0,time,8,19,5.90592500715581,5.574606971605768,0.3313180355500429
