symbol,company_name,index_name,action,announcement_date,effective_date,source_url
HINDMOTOR,Hindustan Motors Ltd.,,excluded,2011-01-18,"January 20, 2011",https://www.niftyindices.com/Press_Release/ind_prs18012011.pdf
SHREEASHTA,Shree Ashtavinayak Cine Vision Ltd.,,included,2011-01-18,"January 20, 2011",https://www.niftyindices.com/Press_Release/ind_prs18012011.pdf
HATHWAY,Hathway Cable & Datacom Ltd.,,included,2011-01-18,"January 20, 2011",https://www.niftyindices.com/Press_Release/ind_prs18012011.pdf
HIMACHLFUT,Himachal Futuristic Communications Ltd.,S&P CNX 500 Index,excluded,2011-02-04,"February 8, 2011",https://www.niftyindices.com/Press_Release/ind_prs04022011.pdf
RELMEDIA,Reliance MediaWorks Ltd.,S&P CNX 500 Index,included,2011-02-04,"February 8, 2011",https://www.niftyindices.com/Press_Release/ind_prs04022011.pdf
NIRMA,Nirma Ltd.,CNX FMCG Index,excluded,2011-03-17,"March 24, 2011",https://www.niftyindices.com/Press_Release/ind_prs17032011.pdf
JUBLFOOD,Jubilant Foodworks Ltd.,CNX FMCG Index,included,2011-03-17,"March 24, 2011",https://www.niftyindices.com/Press_Release/ind_prs17032011.pdf
NIRMA,Nirma Ltd.,CNX Midcap Index,excluded,2011-03-17,"March 24, 2011",https://www.niftyindices.com/Press_Release/ind_prs17032011.pdf
KARURVYSYA,Karur Vysya Bank Ltd.,CNX Midcap Index,included,2011-03-17,"March 24, 2011",https://www.niftyindices.com/Press_Release/ind_prs17032011.pdf
NIRMA,Nirma Ltd.,S&P CNX 500 Index,excluded,2011-03-17,"March 24, 2011",https://www.niftyindices.com/Press_Release/ind_prs17032011.pdf
ORBITCORP,Orbit Corporation Ltd.,S&P CNX 500 Index,included,2011-03-17,"March 24, 2011",https://www.niftyindices.com/Press_Release/ind_prs17032011.pdf
VTL,Vardhman Textiles Limited,S&P CNX 500 Index,excluded,2011-03-23,"March 25, 2011",https://www.niftyindices.com/Press_Release/ind_prs23032011.pdf
GODREJPROP,Godrej Properties Limited,S&P CNX 500 Index,included,2011-03-23,"March 25, 2011",https://www.niftyindices.com/Press_Release/ind_prs23032011.pdf
ALEMBICLTD,Alembic Limited,S&P CNX 500 Index,excluded,2011-04-06,"April 11, 2011",https://www.niftyindices.com/Press_Release/ind_prs06042011.pdf
COALINDIA,Coal India Limited,S&P CNX 500 Index,included,2011-04-06,"April 11, 2011",https://www.niftyindices.com/Press_Release/ind_prs06042011.pdf
IBREALEST,Indiabulls Real Estate Limited,CNX Midcap Index,excluded,2011-04-19,"April 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs19042011.pdf
PANTALOONR,Pantaloon Retail (India) Limited,CNX Midcap Index,included,2011-04-19,"April 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs19042011.pdf
IBREALEST,Indiabulls Real Estate Limited,CNX Realty Index,excluded,2011-04-19,"April 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs19042011.pdf
OBEROIRLTY,Oberoi Realty Limited,CNX Realty Index,included,2011-04-19,"April 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs19042011.pdf
IBREALEST,Indiabulls Real Estate Limited,S&P CNX 500 Index,excluded,2011-04-19,"April 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs19042011.pdf
OBEROIRLTY,Oberoi Realty Limited,S&P CNX 500 Index,included,2011-04-19,"April 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs19042011.pdf
ESSARSHIP,Essar Shipping Ports & Logistics Limited,CNX Smallcap Index,excluded,2011-05-12,"May 18, 2011",https://www.niftyindices.com/Press_Release/ind_prs12052011.pdf
TATACOFFEE,Tata Coffee Limited,CNX Smallcap Index,included,2011-05-12,"May 18, 2011",https://www.niftyindices.com/Press_Release/ind_prs12052011.pdf
ESSARSHIP,Essar Shipping Ports & Logistics Limited,S&P CNX 500 Index,excluded,2011-05-12,"May 18, 2011",https://www.niftyindices.com/Press_Release/ind_prs12052011.pdf
ARSSINFRA,ARSS Infrastructure Projects Limited,S&P CNX 500 Index,included,2011-05-12,"May 18, 2011",https://www.niftyindices.com/Press_Release/ind_prs12052011.pdf
