symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
ONGC,GAIL,GAIL,ONGC,2011-05-04,2011-05-05,2011-05-11,2011-05-12,reverted,448.75,461.5,312.0,299.45,2.514615662061274,3.8360264358974434,3.1753210489793586,0.3266099646796658,0.1864094615384615,2011-05-26,False
ONGC,GAIL,ONGC,GAIL,2011-05-23,2011-05-24,2011-05-27,2011-05-30,reverted,268.7,284.95,438.0,439.0,5.7161010327874955,-0.4185354337899626,2.6487827994987665,0.33153573684406407,0.1902249315068493,2011-06-30,True
RELIANCE,ONGC,ONGC,RELIANCE,2011-06-09,2011-06-10,2011-06-13,2011-06-14,reverted,265.85,270.0,957.0,929.0,1.23638736050404,2.7384160292580986,1.9874016948810693,0.324643295881136,0.1873937931034483,2011-06-30,False
RELIANCE,ONGC,RELIANCE,ONGC,2011-06-27,2011-06-28,2011-06-30,2011-07-01,reverted,878.9,907.0,287.9,288.0,2.8700215026282816,-0.2247854602292437,1.3226180211995189,0.3271567884173399,0.19005117749218478,2011-07-28,True
RELIANCE,GAIL,GAIL,RELIANCE,2011-06-07,2011-06-08,2011-06-08,2011-06-09,reverted,436.05,444.0,957.4,951.45,1.498139389680069,0.4320126634635365,0.9650760265718028,0.32504602483660133,0.189462164194694,2011-06-30,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-06-13,2011-06-14,2011-06-29,2011-06-30,reverted,925.3,888.7,454.45,441.25,-4.271642598508583,2.7171971460006574,-0.7772227262539628,0.31616869815195076,0.18741282209263946,2011-06-30,False
ONGC,GAIL,ONGC,GAIL,2011-06-09,2011-06-10,2011-06-16,2011-06-17,reverted,265.85,267.0,442.15,436.15,0.10966502760954044,1.1682035892796567,0.6389343084445986,0.3229097325935678,0.18880195182630333,2011-06-30,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-07-29,2011-08-01,2011-07-29,,no_fill,,,463.0,,,,,,,2011-08-25,False
ONGC,GAIL,ONGC,GAIL,2011-07-29,2011-08-01,2011-07-29,,no_fill,,,463.0,,,,,,,2011-08-25,False
RELIANCE,ONGC,RELIANCE,ONGC,2011-08-05,2011-08-08,2011-08-29,2011-08-25,rollover,776.7,761.6,270.1,282.3,-2.2633811582078103,-4.710919933358012,-3.487150545782911,0.31925858836101456,0.19407432062199184,2011-08-25,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-07-29,2011-08-01,2011-08-26,2011-08-25,rollover,838.0,761.6,463.0,413.0,-9.425184619284007,10.618809373650105,0.5968123771830491,0.30823951188544163,0.18032669546436284,2011-08-25,False
RELIANCE,GAIL,GAIL,RELIANCE,2011-08-30,2011-09-02,2011-08-30,,no_fill,,,795.25,,,,,,,2011-09-29,False
ONGC,GAIL,ONGC,GAIL,2011-07-29,2011-08-01,2011-08-02,2011-08-03,reverted,271.15,274.25,463.0,455.85,0.8192770937119682,1.3556426004319606,1.0874598470719645,0.3240015343536788,0.18863385745140387,2011-08-25,False
ONGC,GAIL,GAIL,ONGC,2011-08-08,2011-08-09,2011-08-30,2011-08-25,rollover,442.0,417.0,280.0,282.3,-5.969664736199097,-1.0121858857142871,-3.4909253109566922,0.31355613891402717,0.19075731428571427,2011-08-25,False
RELIANCE,ONGC,ONGC,RELIANCE,2011-09-02,2011-09-05,2011-09-16,2011-09-19,reverted,263.0,274.9,795.05,824.95,4.195518644334598,-3.954165429847187,0.12067660724370555,0.3291961845627377,0.19339566693918622,2011-09-29,False
RELIANCE,GAIL,GAIL,RELIANCE,2011-08-30,2011-09-02,2011-09-19,2011-09-20,reverted,423.95,435.7,795.25,821.05,2.445050317042095,-3.437194860735619,-0.49607227184676206,0.3265029321618116,0.19293205029864818,2011-09-29,False
RELIANCE,GAIL,GAIL,RELIANCE,2011-10-14,2011-10-17,2011-10-24,2011-10-25,reverted,415.1,435.0,877.3,858.25,4.464415629342332,1.9833641650518612,3.2238898971970964,0.32960990667309087,0.18807091986777613,2011-11-24,True
ONGC,GAIL,GAIL,ONGC,2011-10-28,2011-10-31,2011-10-31,2011-11-01,window_end,432.5,420.0,284.25,276.9,-3.207978650867056,2.398052949868079,-0.40496285049948844,0.3178052404624277,0.1876990290237467,2011-11-24,False
RELIANCE,ONGC,ONGC,RELIANCE,2011-11-11,2011-11-14,2011-11-17,2011-11-18,reverted,266.5,255.7,895.0,803.65,-4.368552426716699,10.025845448044691,2.8286465106639964,0.3160195936960601,0.1808584625698324,2011-11-24,False
RELIANCE,ONGC,RELIANCE,ONGC,2011-11-25,2011-11-28,2011-11-30,2011-12-01,window_end,765.0,799.0,248.95,265.05,4.11537157333334,-6.66298700542279,-1.2738077160447254,0.3290728711111111,0.1958249246836714,2011-12-29,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-11-24,2011-11-25,2011-11-30,2011-12-01,window_end,769.7,799.0,386.15,396.2,3.4785848088605906,-2.7949716716302024,0.3418065686151941,0.3280931176042614,0.19235610773015668,2011-12-29,False
ONGC,GAIL,GAIL,ONGC,2011-11-18,2011-11-21,2011-11-23,2011-11-24,reverted,380.0,373.0,259.4,243.45,-2.1615205731578895,5.9643041017733225,1.9013917643077165,0.31941531,0.18450083269082498,2011-12-29,True
RELIANCE,ONGC,RELIANCE,ONGC,2011-12-29,2011-12-30,2011-12-30,2012-01-02,window_end,713.0,696.8,255.45,252.85,-2.59084451820478,0.8287052926208631,-0.8810696127919585,0.31875475663394115,0.18910641221374047,2012-01-25,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-12-12,2011-12-13,2011-12-14,2011-12-15,reverted,723.9,731.9,389.45,371.45,0.7811820954828061,4.436031303119788,2.608606699301297,0.3239429217847769,0.18587138015149574,2011-12-29,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-12-30,2012-01-02,2011-12-30,,no_fill,,,380.0,,,,,,,2012-01-25,False
RELIANCE,ONGC,RELIANCE,ONGC,2011-12-30,2012-01-02,2012-01-06,2012-01-09,reverted,696.8,714.45,252.85,257.5,2.2068715639351444,-2.0307057188056077,0.08808292256476835,0.32613647280424807,0.1916707178168875,2012-01-25,False
RELIANCE,GAIL,RELIANCE,GAIL,2011-12-30,2012-01-02,2012-01-06,2012-01-09,reverted,696.8,714.45,380.0,387.35,2.2068715639351444,-2.1259666736842147,0.040452445125464864,0.32613647280424807,0.19175614736842103,2012-01-25,False
RELIANCE,GAIL,GAIL,RELIANCE,2012-01-17,2012-01-18,2012-01-31,2012-02-01,window_end,373.7,370.05,764.0,823.95,-1.2974640319775215,-8.043921979057595,-4.670693005517558,0.3207447384265454,0.19706334031413614,2012-02-23,True
ONGC,GAIL,GAIL,ONGC,2012-01-05,2012-01-06,2012-01-06,2012-01-09,reverted,379.75,387.0,255.65,257.5,1.5839726700460859,-0.9143151535302175,0.3348287582579342,0.3251780870309414,0.19066954429884606,2012-01-25,False
ONGC,GAIL,GAIL,ONGC,2012-01-13,2012-01-16,2012-01-31,2012-02-01,window_end,374.0,370.05,262.0,277.7,-1.3767724479411707,-6.187765160305348,-3.7822688041232597,0.3206227153208556,0.19539874809160307,2012-02-23,True
RELIANCE,ONGC,ONGC,RELIANCE,2012-02-01,2012-02-02,2012-02-29,2012-02-23,rollover,273.7,295.4,846.6,839.6,7.593963749872115,0.6375589274746081,4.115761338673361,0.3344249969309463,0.1892778313253012,2012-02-23,False
ONGC,GAIL,ONGC,GAIL,2012-02-15,2012-02-16,2012-02-16,2012-02-17,reverted,279.5,283.0,404.1,393.4,0.9280672182468666,2.4602161593665044,1.6941416888066856,0.32416891771019674,0.1876432813659985,2012-03-29,True
ONGC,GAIL,GAIL,ONGC,2012-02-21,2012-02-22,2012-02-29,2012-03-01,window_end,383.0,375.0,295.0,296.5,-2.4078092187989553,-0.6989509830508506,-1.5533801009249029,0.3190363728459531,0.19047640677966102,2012-03-29,True
RELIANCE,GAIL,RELIANCE,GAIL,2012-03-19,2012-03-20,2012-03-30,2012-04-02,window_end,756.1,749.35,366.95,377.05,-1.2136128067319176,-2.944909156560841,-2.0792609816463794,0.3208737510514482,0.19249057092246902,2012-04-26,True
RELIANCE,ONGC,ONGC,RELIANCE,2012-04-13,2012-04-16,2012-04-17,2012-04-18,reverted,260.2,269.25,748.2,752.25,3.1505054359339093,-0.7318049879711325,1.2093502239813885,0.3275883380860876,0.19050587008821174,2012-04-26,False
RELIANCE,GAIL,GAIL,RELIANCE,2012-04-25,2012-04-26,2012-04-30,2012-05-02,window_end,338.9,330.3,737.55,744.0,-2.8559685568604243,-1.0653219483424843,-1.9606452526014544,0.3183468395396873,0.190804966442953,2012-05-31,True
ONGC,GAIL,GAIL,ONGC,2012-04-24,2012-04-25,2012-04-30,2012-05-02,window_end,349.0,330.3,271.0,271.5,-5.672180034899712,-0.3746874538745473,-3.0234337443871295,0.31401384578796565,0.19018560885608854,2012-05-31,True
RELIANCE,IGL,IGL,RELIANCE,2012-05-30,2012-05-31,2012-05-31,2012-06-01,window_end,197.9,196.0,700.0,712.85,-1.2808511477513882,-2.0273820228571533,-1.6541165853042707,0.32077029883779684,0.19166773714285715,2012-06-28,True
ONGC,IGL,IGL,ONGC,2012-05-30,2012-05-31,2012-05-31,2012-06-01,window_end,197.9,196.0,253.0,253.3,-1.2808511477513882,-0.30870350988142226,-0.7947773288164053,0.32077029883779684,0.1901264347826087,2012-06-28,True
RELIANCE,ONGC,RELIANCE,ONGC,2012-06-13,2012-06-14,2012-06-18,2012-06-19,reverted,716.0,717.0,268.85,263.85,-0.18279495223463565,1.6714224400223165,0.7443137438938404,0.32245975670391064,0.18835066765854566,2012-06-28,False
RELIANCE,ONGC,RELIANCE,ONGC,2012-06-21,2012-06-22,2012-06-29,2012-07-02,window_end,713.55,735.5,275.1,286.8,2.749197563548454,-4.446836401308604,-0.8488194188800753,0.3269708899586574,0.1938374918211559,2012-07-26,True
RELIANCE,IGL,IGL,RELIANCE,2012-05-31,2012-06-01,2012-06-08,2012-06-11,reverted,196.0,228.0,712.85,736.5,15.979204171428568,-3.5106664529704656,6.234268859229052,0.3473264408163265,0.19299793925790837,2012-06-28,False
ONGC,IGL,IGL,ONGC,2012-05-31,2012-06-01,2012-06-07,2012-06-08,reverted,196.0,229.0,253.3,262.1,16.488624464285706,-3.66727972364785,6.410672370318928,0.3481102295918368,0.19313838926174495,2012-06-28,False
ONGC,IGL,IGL,ONGC,2012-06-29,2012-07-02,2012-06-29,,no_fill,,,286.8,,,,,,,2012-07-26,False
RELIANCE,IGL,IGL,RELIANCE,2012-07-31,2012-08-01,2012-07-31,,no_fill,,,742.25,,,,,,,2012-08-30,False
IGL,ONGC,IGL,ONGC,2012-06-29,2012-07-02,2012-07-04,2012-07-05,reverted,241.0,251.1,286.8,286.0,3.862188043734447,0.0891704044630412,1.975679224098744,0.328683325560166,0.18976962343096232,2012-07-26,False
IGL,ONGC,IGL,ONGC,2012-07-16,2012-07-17,2012-07-30,2012-07-31,reverted,236.85,237.0,291.0,279.4,-0.2590112687777135,3.799812357388324,1.7704005443053052,0.32234249107029767,0.1864419381443299,2012-08-30,True
RELIANCE,ONGC,ONGC,RELIANCE,2012-08-06,2012-08-07,2012-08-24,2012-08-27,reverted,280.25,286.1,787.45,787.75,1.7619699928278403,-0.228151853451014,0.7669090696884131,0.32545195186440673,0.19005419645691793,2012-08-30,False
RELIANCE,IGL,IGL,RELIANCE,2012-07-31,2012-08-01,2012-08-10,2012-08-13,reverted,233.95,253.05,742.25,786.55,7.8293504757427,-6.163716689794537,0.8328168929740816,0.33478716050438134,0.19537718154260697,2012-08-30,False
ONGC,IGL,ONGC,IGL,2012-08-10,2012-08-13,2012-08-27,2012-08-28,reverted,284.95,286.5,254.1,257.6,0.22087424190209604,-1.5686668319559256,-0.6738962950269147,0.3230808379364801,0.19125636363636364,2012-08-30,False
RELIANCE,ONGC,ONGC,RELIANCE,2012-09-14,2012-09-17,2012-09-21,2012-09-24,reverted,284.0,293.35,847.8,851.0,2.964950675669018,-0.5678063080915334,1.1985721837887424,0.3273028454577465,0.19035879688605806,2012-09-27,False
RELIANCE,IGL,IGL,RELIANCE,2012-09-17,2012-09-18,2012-09-20,2012-09-21,reverted,259.6,256.3,871.95,842.2,-1.5914788110169569,3.224935398818734,0.8167282939008885,0.3202923703389831,0.1869574849475314,2012-10-25,True
ONGC,IGL,ONGC,IGL,2012-09-27,2012-09-28,2012-09-28,2012-10-01,window_end,278.45,280.0,264.9,267.7,0.2335525553241296,-1.2479714080785242,-0.5072094263771973,0.32310034465792786,0.19096876557191395,2012-10-25,False
RELIANCE,ONGC,ONGC,RELIANCE,2012-11-01,2012-11-02,2012-11-16,2012-11-19,reverted,268.3,256.3,816.2,777.65,-4.787979560044729,4.537326542514098,-0.12532650876531548,0.31537426746179653,0.18578053908355793,2012-11-29,False
RELIANCE,ONGC,ONGC,RELIANCE,2012-11-27,2012-11-29,2012-11-30,2012-12-03,window_end,250.55,265.0,792.75,802.15,5.4362068192775785,-1.3768301469567963,2.0296883361603912,0.33110509451207343,0.19108432544938506,2012-12-27,True
