symbol,strategy,leg,entry_date,exit_date,own_return_pct,nifty_window_return_pct,sector_peer_return_pct,excess_vs_nifty_pct,excess_vs_sector_pct,nifty_trailing_63d_return_pct,stress_composite_at_entry
ABFRL,delivery_breakout,long,2021-02-24,2021-03-02,18.73137462316267,-0.41983713789880417,,19.15121176106147,,14.759309544509257,24.140211640211643
ABFRL,delivery_breakout,long,2021-05-18,2021-05-27,-2.527054795583594,1.5207074350845007,,-4.047762230668095,,0.010591467249199127,24.801587301587304
ABFRL,delivery_breakout,long,2022-03-25,2022-04-05,0.7871589933333294,4.689558677782313,,-3.9023996844489837,,0.4709888774931059,83.92857142857143
ABFRL,delivery_breakout,long,2022-08-02,2022-08-12,7.01940019705882,2.0333862770928413,,4.986013919965979,,3.9729899026833326,59.92063492063493
ABFRL,delivery_breakout,long,2023-06-30,2023-07-11,1.0339819403278616,1.3046503083790073,,-0.2706683680511457,,12.971793920768636,12.16931216931217
IRCTC,oi_momentum,long,2021-07-06,2021-07-15,2.6913000088000127,0.6697959635231454,,2.0215040452768673,,8.064394922734298,33.13492063492063
IRCTC,oi_momentum,long,2021-07-19,2021-07-28,-5.747195803790201,-0.2729742769355781,,-5.474221526854623,,9.70058045398674,52.05026455026455
IRCTC,oi_momentum,long,2021-09-08,2021-09-15,15.016111562128078,0.956291238078788,,14.05982032404929,,10.988880965248615,48.478835978835974
IRCTC,oi_momentum,long,2021-09-20,2021-09-21,-7.939151815631003,0.9490196529266637,4.999946978292913,-8.888171468557665,-12.939098793923915,10.925918250883914,58.33333333333334
IRCTC,oi_momentum,long,2021-10-05,2021-10-08,18.30903149675248,0.40903811517032374,-78.89733343780199,17.899993381582156,97.20636493455447,12.554667542399912,59.126984126984134
IRCTC,oi_momentum,long,2021-10-18,2021-10-19,-7.990001401930906,-0.31552655862272516,-2.9227557411273364,-7.674474843308181,-5.06724566080357,16.031260597078646,57.73809523809524
IRCTC,oi_momentum,long,2022-01-17,2022-01-24,-8.317161200260276,-6.330534752669448,-18.378933835615012,-1.9866264475908286,10.061772635354735,-0.9144316868764157,56.547619047619044
MPHASIS,participant_tilt_stress_gated,long,2022-09-20,2022-09-29,2.893304588036726,-5.602469655511133,-1.6627662718845684,8.495774243547858,4.556070859921294,16.065641052367564,50.26455026455026
MPHASIS,participant_tilt_stress_gated,long,2022-10-31,2022-11-10,-1.3920278149999965,0.0888286827816609,-0.7146989512437314,-1.4808564977816574,-0.6773288637562651,8.234686151738412,46.8915343915344
MPHASIS,participant_tilt_stress_gated,long,2022-11-11,2022-11-22,-2.3597189844079085,-0.5749412796939413,-0.6984944967295561,-1.7847777047139672,-1.6612244876783524,4.705251325242088,35.25132275132275
MPHASIS,participant_tilt_stress_gated,long,2022-11-23,2022-12-02,11.460867660869557,2.347644007718719,6.376695203499559,9.113223653150838,5.084172457369998,4.4397880016237234,34.98677248677249
MPHASIS,participant_tilt_stress_gated,long,2023-03-31,2023-04-13,3.77140153779971,2.697331470787301,0.9959977643571482,1.0740700670124093,2.775403773442562,-4.569567368478921,34.19312169312169
TATAELXSI,vol_squeeze_breakout,long,2021-04-08,2021-04-20,3.588955554080661,-3.8819938415199817,-3.4312952438995303,7.470949395600643,7.020250797980191,4.748758759111227,43.32010582010582
TATAELXSI,vol_squeeze_breakout,long,2021-07-01,2021-07-12,-1.5385759465591025,0.0803571428571459,1.4953161496270562,-1.6189330894162484,-3.0338920961861584,5.624077978592257,32.73809523809524
TATAELXSI,vol_squeeze_breakout,long,2021-08-18,2021-08-30,3.349198094082851,2.186091482566055,0.012935549113178433,1.1631066115167963,3.3362625449696726,11.155134995521966,47.94973544973545
TATAELXSI,vol_squeeze_breakout,long,2021-09-16,2021-09-20,13.324583084353616,-1.3193794492186273,-2.126987183304791,14.643962533572243,15.451570267658408,11.8087464444381,42.3941798941799
TATAELXSI,vol_squeeze_breakout,long,2022-01-20,2022-02-01,9.861830692902677,-1.0145857971504135,-3.308944773398841,10.87641649005309,13.170775466301517,-2.316469992171899,68.71693121693121
TATAELXSI,vol_squeeze_breakout,long,2023-05-11,2023-05-19,-4.394942587928499,-0.5115592720117967,2.1580281050740764,-3.8833833159167024,-6.5529706930025755,2.480949700488133,21.23015873015873
ABFRL,vol_squeeze_breakout,long,2021-02-25,2021-03-04,19.228149458094755,-0.10995307123435882,,19.338102529329113,,17.412353014371938,29.365079365079364
ABFRL,vol_squeeze_breakout,long,2021-06-23,2021-07-02,0.1681135290458337,0.22470907346552327,,-0.05659554441968956,,6.395482908301697,31.746031746031743
ABFRL,vol_squeeze_breakout,long,2021-07-14,2021-07-20,-6.958835541428988,-1.3993358122108446,,-5.559499729218144,,9.301403673266794,37.03703703703703
ABFRL,vol_squeeze_breakout,long,2022-01-05,2022-01-14,6.703787643059185,1.8437678693463022,,4.8600197737128825,,0.5776471050313425,63.558201058201064
ABFRL,vol_squeeze_breakout,long,2022-09-08,2022-09-19,0.571441511296298,-0.9916426715359195,,1.5630841828322175,,8.819258693160116,47.02380952380952
ADANIPOWER,price_action_long,long,2021-03-03,2021-03-08,19.370907815490234,-1.8982526105892794,1.4599705002098908,21.269160426079512,17.910937315280343,16.256600896006113,33.99470899470899
ADANIPOWER,price_action_long,long,2021-06-07,2021-06-08,18.71081010956793,-0.07332565159839932,0.9336146066664555,18.78413576116633,17.777195502901474,5.580430454920204,20.03968253968254
ADANIPOWER,price_action_long,long,2021-06-09,2021-06-09,-9.171905030160604,0.0,0.0,-9.171905030160604,-9.171905030160604,3.6775359315683875,26.521164021164022
ADANIPOWER,price_action_long,long,2022-01-11,2022-01-20,4.715874760550462,-1.6545975658723622,6.327051899048407,6.370472326422824,-1.6111771384979452,0.611837211181343,59.457671957671955
ADANIPOWER,price_action_long,long,2022-04-01,2022-04-06,25.633130180522464,0.7764374987620615,9.664601925597644,24.856692681760403,15.96852825492482,2.7115865833137187,65.01322751322752
ADANIPOWER,price_action_long,long,2023-03-13,2023-03-20,-10.338060915812164,-0.9671044577744259,-0.619431367912645,-9.370956458037739,-9.71862954789952,-7.259767045193454,49.20634920634921
ADANIPOWER,price_action_long,long,2023-05-22,2023-05-31,2.542200053278697,1.2012405538810889,7.29166938712568,1.340959499397608,-4.749469333846983,2.144747446297668,26.984126984126984
ADANIPOWER,momentum,long,2021-05-03,2021-06-02,1.749036033297874,6.437340057331653,17.226031704965933,-4.688304024033779,-15.47699567166806,4.772865580812602,50.72751322751322
ADANIPOWER,momentum,long,2022-01-03,2022-02-02,8.500924445431849,0.8754262242066879,10.907134103821692,7.625498221225161,-2.4062096583898427,0.5341645728822453,54.36507936507937
ADANIPOWER,momentum,long,2022-03-02,2022-04-01,51.76623786193757,6.410352915671802,3.6181551179289895,45.35588494626577,48.148082744008576,-3.2676254885856015,95.30423280423281
ADANIPOWER,momentum,long,2022-05-02,2022-06-01,10.553878052500009,-3.200813165310401,-8.395280753458238,13.75469121781041,18.94915880595825,-0.2399160732080241,73.80952380952381
ADANIPOWER,momentum,long,2022-07-01,2022-08-01,19.35453756324899,10.081227522766877,12.551564624964834,9.273310040482112,6.802972938284155,-9.806610458208686,75.85978835978837
ADANIPOWER,momentum,long,2023-03-01,2023-04-03,27.08656428235293,-0.30284970975710257,5.85564768297656,27.389413992110033,21.23091659937637,-7.2377408637873675,32.60582010582011
