symbol,first,last,rows,span_days,gap_rate
HDFCLIFE,2017-11-17,2026-08-13,2163,2163,0.0
HEROMOTOCO,2003-01-27,2026-08-13,5804,5804,0.0
HINDALCO,2003-01-27,2026-08-13,5804,5804,0.0
HINDCOPPER,2010-01-08,2026-08-13,4104,4104,0.0
HINDPETRO,2003-01-27,2026-08-13,5804,5804,0.0
HINDUNILVR,2003-01-27,2026-08-13,5804,5804,0.0
HINDZINC,2003-01-01,2026-08-13,4934,5822,0.1525249055307455
HSCL,2007-03-02,2026-08-13,4805,4805,0.0
HUDCO,2017-05-19,2026-08-13,2287,2287,0.0
HYUNDAI,2024-10-22,2026-08-13,448,448,0.0
ICICIAMC,2025-12-19,2026-08-13,159,159,0.0
ICICIBANK,2003-01-01,2026-08-13,5822,5822,0.0
ICICIGI,2017-09-27,2026-08-13,2197,2197,0.0
IDBI,2003-01-27,2026-08-13,5804,5804,0.0
IDEA,2007-03-09,2026-08-13,4800,4800,0.0
IDFCFIRSTB,2015-11-06,2026-08-13,2663,2663,0.0
IFCI,2003-01-27,2026-08-13,5804,5804,0.0
IGL,2003-12-26,2026-08-13,5575,5575,0.0
IIFL,2005-05-17,2026-08-13,5249,5249,0.0
IKS,2024-12-19,2026-08-13,408,408,0.0
INDHOTEL,2003-01-27,2026-08-13,5804,5804,0.0
INDIANB,2007-03-01,2026-08-13,4806,4806,0.0
INDUSINDBK,2003-01-27,2026-08-13,5804,5804,0.0
INDUSTOWER,2012-12-28,2026-08-13,3366,3366,0.0
INFY,2003-01-01,2026-08-13,5822,5822,0.0
INOXWIND,2015-04-09,2026-08-13,2808,2808,0.0
IOC,2003-01-27,2026-08-13,5804,5804,0.0
IRCON,2018-09-28,2026-08-13,1949,1949,0.0
IRCTC,2019-10-14,2026-08-13,1697,1697,0.0
IREDA,2023-11-29,2026-08-13,671,671,0.0
IRFC,2021-01-29,2026-08-13,1372,1372,0.0
ITC,2003-01-01,2026-08-13,5822,5822,0.0
ITI,2003-01-01,2026-08-13,5822,5822,0.0
JBMA,2004-12-17,2026-08-13,5351,5352,0.00018684603886398587
JINDALSTEL,2003-01-01,2026-08-13,5822,5822,0.0
JMFINANCIL,2003-01-01,2026-08-13,5822,5822,0.0
JSWCEMENT,2025-08-14,2026-08-13,245,245,0.0
JSWENERGY,2010-01-04,2026-08-13,4108,4108,0.0
JSWSTEEL,2005-03-23,2026-08-13,5286,5286,0.0
JUBLFOOD,2010-02-08,2026-08-13,4084,4084,0.0
JYOTICNC,2024-01-16,2026-08-13,638,638,0.0
KALYANKJIL,2021-03-26,2026-08-13,1333,1333,0.0
KARURVYSYA,2003-01-01,2026-08-13,5822,5822,0.0
KAYNES,2022-11-22,2026-08-13,924,924,0.0
KEC,2006-03-10,2026-08-13,5046,5046,0.0
KEI,2006-03-23,2026-08-13,5038,5038,0.0
KFINTECH,2022-12-29,2026-08-13,897,897,0.0
KOTAKBANK,2003-01-01,2026-08-13,5822,5822,0.0
KPITTECH,2019-04-22,2026-08-13,1813,1813,0.0
LALPATHLAB,2015-12-23,2026-08-13,2632,2632,0.0
LAURUSLABS,2016-12-19,2026-08-13,2390,2390,0.0
LENSKART,2025-11-10,2026-08-13,188,188,0.0
LGEINDIA,2025-10-14,2026-08-13,205,205,0.0
