date,reserve_type,currency,value
2000-07-01,SDRs,SDRs Millions,
2000-06-01,Reserve Tranche Position,₹ Crores,
2000-06-01,Reserve Tranche Position,US $ Millions,
2000-06-01,SDRs,SDRs Millions,
2000-04-01,Reserve Tranche Position,₹ Crores,
2000-04-01,Reserve Tranche Position,US $ Millions,
2000-04-01,SDRs,SDRs Millions,
2000-03-01,Reserve Tranche Position,₹ Crores,
2000-03-01,Reserve Tranche Position,US $ Millions,
2000-03-01,SDRs,SDRs Millions,
2000-02-01,Reserve Tranche Position,₹ Crores,
2000-02-01,Reserve Tranche Position,US $ Millions,
2000-02-01,SDRs,SDRs Millions,
2000-01-01,Reserve Tranche Position,₹ Crores,
2000-01-01,Reserve Tranche Position,US $ Millions,
2000-01-01,SDRs,SDRs Millions,
1999-12-01,Reserve Tranche Position,₹ Crores,
1999-12-01,Reserve Tranche Position,US $ Millions,
1999-12-01,SDRs,SDRs Millions,
1999-10-01,Reserve Tranche Position,₹ Crores,
1999-10-01,Reserve Tranche Position,US $ Millions,
1999-10-01,SDRs,SDRs Millions,
1999-09-01,Reserve Tranche Position,₹ Crores,
1999-09-01,Reserve Tranche Position,US $ Millions,
1999-09-01,SDRs,SDRs Millions,
1999-08-01,Reserve Tranche Position,₹ Crores,
1999-08-01,Reserve Tranche Position,US $ Millions,
1999-08-01,SDRs,SDRs Millions,
1999-07-01,Reserve Tranche Position,₹ Crores,
1999-07-01,Reserve Tranche Position,US $ Millions,
1999-07-01,SDRs,SDRs Millions,
1999-06-01,Reserve Tranche Position,₹ Crores,
1999-06-01,Reserve Tranche Position,US $ Millions,
1999-06-01,SDRs,SDRs Millions,
1999-04-01,Reserve Tranche Position,₹ Crores,
1999-04-01,Reserve Tranche Position,US $ Millions,
1999-04-01,SDRs,SDRs Millions,
1999-03-01,Reserve Tranche Position,₹ Crores,
1999-03-01,Reserve Tranche Position,US $ Millions,
1999-03-01,SDRs,SDRs Millions,
1999-02-01,Reserve Tranche Position,₹ Crores,
1999-02-01,Reserve Tranche Position,US $ Millions,
1999-02-01,SDRs,SDRs Millions,
1999-01-01,Reserve Tranche Position,₹ Crores,
1999-01-01,Reserve Tranche Position,US $ Millions,
1999-01-01,SDRs,SDRs Millions,
1998-12-01,Reserve Tranche Position,₹ Crores,
1998-12-01,Reserve Tranche Position,US $ Millions,
1998-12-01,SDRs,SDRs Millions,
1998-10-01,Reserve Tranche Position,₹ Crores,
1998-10-01,Reserve Tranche Position,US $ Millions,
1998-10-01,SDRs,SDRs Millions,
1998-09-01,Reserve Tranche Position,₹ Crores,
1998-09-01,Reserve Tranche Position,US $ Millions,
1998-09-01,SDRs,SDRs Millions,
