date,reserve_type,currency,value
2012-08-01,Total,US $ Millions,290462.0
2012-07-01,Foreign Currency Assets,₹ Crores,1431934.0
2012-07-01,Foreign Currency Assets,US $ Millions,256573.0
2012-07-01,Gold,₹ Crores,143514.0
2012-07-01,Gold,US $ Millions,25715.0
2012-07-01,Reserve Tranche Position,₹ Crores,11916.0
2012-07-01,Reserve Tranche Position,US $ Millions,2135.0
2012-07-01,SDRs,₹ Crores,24291.0
2012-07-01,SDRs,US $ Millions,4353.0
2012-07-01,Total,₹ Crores,1611655.0
2012-07-01,Total,US $ Millions,288775.0
2012-06-01,Foreign Currency Assets,₹ Crores,1445492.0
2012-06-01,Foreign Currency Assets,US $ Millions,256703.0
2012-06-01,Gold,₹ Crores,145056.0
2012-06-01,Gold,US $ Millions,25760.0
2012-06-01,Reserve Tranche Position,₹ Crores,16299.0
2012-06-01,Reserve Tranche Position,US $ Millions,2895.0
2012-06-01,SDRs,₹ Crores,24659.0
2012-06-01,SDRs,US $ Millions,4379.0
2012-06-01,Total,₹ Crores,1631506.0
2012-06-01,Total,US $ Millions,289736.0
2012-05-01,Foreign Currency Assets,₹ Crores,1428763.0
2012-05-01,Foreign Currency Assets,US $ Millions,253237.0
2012-05-01,Gold,₹ Crores,144350.0
2012-05-01,Gold,US $ Millions,25585.0
2012-05-01,Reserve Tranche Position,₹ Crores,16020.0
2012-05-01,Reserve Tranche Position,US $ Millions,2839.0
2012-05-01,SDRs,₹ Crores,24589.0
2012-05-01,SDRs,US $ Millions,4358.0
2012-05-01,Total,₹ Crores,1613722.0
2012-05-01,Total,US $ Millions,286019.0
2012-04-01,Foreign Currency Assets,₹ Crores,1369929.0
2012-04-01,Foreign Currency Assets,US $ Millions,260839.0
2012-04-01,Gold,₹ Crores,139797.0
2012-04-01,Gold,US $ Millions,26618.0
2012-04-01,Reserve Tranche Position,₹ Crores,15310.0
2012-04-01,Reserve Tranche Position,US $ Millions,2915.0
2012-04-01,SDRs,₹ Crores,23496.0
2012-04-01,SDRs,US $ Millions,4474.0
2012-04-01,Total,₹ Crores,1548532.0
2012-04-01,Total,US $ Millions,294846.0
2012-03-01,Foreign Currency Assets,₹ Crores,1330511.0
2012-03-01,Foreign Currency Assets,US $ Millions,260069.0
2012-03-01,Gold,₹ Crores,138250.0
2012-03-01,Gold,US $ Millions,27023.0
2012-03-01,Reserve Tranche Position,₹ Crores,14511.0
2012-03-01,Reserve Tranche Position,US $ Millions,2836.0
2012-03-01,SDRs,₹ Crores,22866.0
2012-03-01,SDRs,US $ Millions,4469.0
2012-03-01,Total,₹ Crores,1506139.0
2012-03-01,Total,US $ Millions,294398.0
2012-02-01,Foreign Currency Assets,₹ Crores,1274270.0
2012-02-01,Foreign Currency Assets,US $ Millions,260374.0
2012-02-01,Gold,₹ Crores,137657.0
2012-02-01,Gold,US $ Millions,28128.0
2012-02-01,Reserve Tranche Position,₹ Crores,13841.0
2012-02-01,Reserve Tranche Position,US $ Millions,2828.0
2012-02-01,SDRs,₹ Crores,21972.0
2012-02-01,SDRs,US $ Millions,4490.0
2012-02-01,Total,₹ Crores,1447740.0
2012-02-01,Total,US $ Millions,295819.0
2012-01-01,Foreign Currency Assets,₹ Crores,1285866.0
2012-01-01,Foreign Currency Assets,US $ Millions,258830.0
2012-01-01,Gold,₹ Crores,132783.0
2012-01-01,Gold,US $ Millions,26728.0
2012-01-01,Reserve Tranche Position,₹ Crores,13582.0
2012-01-01,Reserve Tranche Position,US $ Millions,2734.0
2012-01-01,SDRs,₹ Crores,22230.0
2012-01-01,SDRs,US $ Millions,4475.0
2012-01-01,Total,₹ Crores,1454461.0
2012-01-01,Total,US $ Millions,292766.0
2011-12-01,Foreign Currency Assets,₹ Crores,1400645.0
2011-12-01,Foreign Currency Assets,US $ Millions,262933.0
2011-12-01,Gold,₹ Crores,141806.0
2011-12-01,Gold,US $ Millions,26620.0
2011-12-01,Reserve Tranche Position,₹ Crores,14415.0
2011-12-01,Reserve Tranche Position,US $ Millions,2706.0
2011-12-01,SDRs,₹ Crores,23593.0
2011-12-01,SDRs,US $ Millions,4429.0
2011-12-01,Total,₹ Crores,1580460.0
2011-12-01,Total,US $ Millions,296688.0
2011-11-01,Foreign Currency Assets,₹ Crores,1423046.0
2011-11-01,Foreign Currency Assets,US $ Millions,272771.0
2011-11-01,Gold,₹ Crores,146289.0
2011-11-01,Gold,US $ Millions,28041.0
2011-11-01,Reserve Tranche Position,₹ Crores,13542.0
2011-11-01,Reserve Tranche Position,US $ Millions,2596.0
2011-11-01,SDRs,₹ Crores,23351.0
2011-11-01,SDRs,US $ Millions,4476.0
2011-11-01,Total,₹ Crores,1606228.0
2011-11-01,Total,US $ Millions,307884.0
2011-10-01,Foreign Currency Assets,₹ Crores,1378560.0
2011-10-01,Foreign Currency Assets,US $ Millions,282087.0
2011-10-01,Gold,₹ Crores,131442.0
2011-10-01,Gold,US $ Millions,26896.0
2011-10-01,Reserve Tranche Position,₹ Crores,12966.0
2011-10-01,Reserve Tranche Position,US $ Millions,2653.0
2011-10-01,SDRs,₹ Crores,22352.0
2011-10-01,SDRs,US $ Millions,4574.0
2011-10-01,Total,₹ Crores,1545319.0
2011-10-01,Total,US $ Millions,316210.0
2011-09-01,Foreign Currency Assets,₹ Crores,1348996.0
2011-09-01,Foreign Currency Assets,US $ Millions,275699.0
2011-09-01,Gold,₹ Crores,140266.0
2011-09-01,Gold,US $ Millions,28667.0
2011-09-01,Reserve Tranche Position,₹ Crores,12783.0
2011-09-01,Reserve Tranche Position,US $ Millions,2612.0
2011-09-01,SDRs,SDRs Millions,2884.0
2011-09-01,SDRs,₹ Crores,22036.0
2011-09-01,SDRs,US $ Millions,4504.0
2011-09-01,Total,₹ Crores,1524081.0
2011-09-01,Total,US $ Millions,311482.0
2011-08-01,Foreign Currency Assets,₹ Crores,1316328.0
2011-08-01,Foreign Currency Assets,US $ Millions,286034.0
2011-08-01,Gold,₹ Crores,130323.0
2011-08-01,Gold,US $ Millions,28319.0
2011-08-01,Reserve Tranche Position,₹ Crores,13766.0
2011-08-01,Reserve Tranche Position,US $ Millions,2991.0
2011-08-01,SDRs,₹ Crores,21346.0
2011-08-01,SDRs,US $ Millions,4638.0
2011-08-01,Total,₹ Crores,1481762.0
2011-08-01,Total,US $ Millions,321982.0
2011-07-01,Foreign Currency Assets,₹ Crores,1263683.0
2011-07-01,Foreign Currency Assets,US $ Millions,286160.0
2011-07-01,Gold,₹ Crores,111940.0
2011-07-01,Gold,US $ Millions,25349.0
2011-07-01,Reserve Tranche Position,₹ Crores,13124.0
2011-07-01,Reserve Tranche Position,US $ Millions,2972.0
2011-07-01,SDRs,₹ Crores,20355.0
2011-07-01,SDRs,US $ Millions,4609.0
2011-07-01,Total,₹ Crores,1409102.0
2011-07-01,Total,US $ Millions,319090.0
2011-06-01,Foreign Currency Assets,₹ Crores,1267626.0
2011-06-01,Foreign Currency Assets,US $ Millions,283458.0
2011-06-01,Gold,₹ Crores,110317.0
2011-06-01,Gold,US $ Millions,24668.0
2011-06-01,Reserve Tranche Position,₹ Crores,13303.0
2011-06-01,Reserve Tranche Position,US $ Millions,2975.0
2011-06-01,SDRs,₹ Crores,20632.0
2011-06-01,SDRs,US $ Millions,4614.0
2011-06-01,Total,₹ Crores,1411878.0
2011-06-01,Total,US $ Millions,315715.0
2011-05-01,Foreign Currency Assets,₹ Crores,1258756.0
2011-05-01,Foreign Currency Assets,US $ Millions,279537.0
2011-05-01,Gold,₹ Crores,109832.0
2011-05-01,Gold,US $ Millions,24391.0
2011-05-01,Reserve Tranche Position,₹ Crores,13398.0
2011-05-01,Reserve Tranche Position,US $ Millions,2975.0
2011-05-01,SDRs,₹ Crores,20772.0
2011-05-01,SDRs,US $ Millions,4613.0
2011-05-01,Total,₹ Crores,1402758.0
2011-05-01,Total,US $ Millions,311516.0
2011-04-01,Foreign Currency Assets,₹ Crores,1251681.0
2011-04-01,Foreign Currency Assets,US $ Millions,282037.0
2011-04-01,Gold,₹ Crores,105582.0
2011-04-01,Gold,US $ Millions,23790.0
2011-04-01,Reserve Tranche Position,₹ Crores,13371.0
2011-04-01,Reserve Tranche Position,US $ Millions,3013.0
2011-04-01,SDRs,₹ Crores,20731.0
2011-04-01,SDRs,US $ Millions,4671.0
2011-04-01,Total,₹ Crores,1391364.0
2011-04-01,Total,US $ Millions,313511.0
2011-03-01,Foreign Currency Assets,₹ Crores,1224883.0
2011-03-01,Foreign Currency Assets,US $ Millions,274330.0
2011-03-01,Gold,₹ Crores,102572.0
2011-03-01,Gold,US $ Millions,22972.0
2011-03-01,Reserve Tranche Position,₹ Crores,13158.0
2011-03-01,Reserve Tranche Position,US $ Millions,2947.0
2011-03-01,SDRs,₹ Crores,20401.0
2011-03-01,SDRs,US $ Millions,4569.0
2011-03-01,Total,₹ Crores,1361013.0
2011-03-01,Total,US $ Millions,304818.0
2011-02-01,Foreign Currency Assets,₹ Crores,1228841.0
2011-02-01,Foreign Currency Assets,US $ Millions,271988.0
2011-02-01,Gold,₹ Crores,100041.0
2011-02-01,Gold,US $ Millions,22143.0
2011-02-01,Reserve Tranche Position,₹ Crores,10277.0
2011-02-01,Reserve Tranche Position,US $ Millions,2275.0
2011-02-01,SDRs,₹ Crores,23436.0
2011-02-01,SDRs,US $ Millions,5187.0
2011-02-01,Total,₹ Crores,1362594.0
2011-02-01,Total,US $ Millions,301592.0
2011-01-01,Foreign Currency Assets,₹ Crores,1240156.0
2011-01-01,Foreign Currency Assets,US $ Millions,269893.0
2011-01-01,Gold,₹ Crores,100739.0
2011-01-01,Gold,US $ Millions,21924.0
2011-01-01,Reserve Tranche Position,₹ Crores,10378.0
2011-01-01,Reserve Tranche Position,US $ Millions,2259.0
2011-01-01,SDRs,₹ Crores,23663.0
2011-01-01,SDRs,US $ Millions,5150.0
2011-01-01,Total,₹ Crores,1374936.0
2011-01-01,Total,US $ Millions,299224.0
2010-12-01,Foreign Currency Assets,₹ Crores,1200077.0
2010-12-01,Foreign Currency Assets,US $ Millions,267814.0
2010-12-01,Gold,₹ Crores,100686.0
2010-12-01,Gold,US $ Millions,22470.0
2010-12-01,Reserve Tranche Position,₹ Crores,8838.0
2010-12-01,Reserve Tranche Position,US $ Millions,1972.0
2010-12-01,SDRs,₹ Crores,22753.0
2010-12-01,SDRs,US $ Millions,5078.0
2010-12-01,Total,₹ Crores,1332353.0
2010-12-01,Total,US $ Millions,297334.0
2010-11-01,Foreign Currency Assets,₹ Crores,1212145.0
2010-11-01,Foreign Currency Assets,US $ Millions,263281.0
2010-11-01,Gold,₹ Crores,101857.0
2010-11-01,Gold,US $ Millions,22124.0
2010-11-01,Reserve Tranche Position,₹ Crores,8997.0
2010-11-01,Reserve Tranche Position,US $ Millions,1954.0
2010-11-01,SDRs,₹ Crores,23161.0
2010-11-01,SDRs,US $ Millions,5031.0
2010-11-01,Total,₹ Crores,1346160.0
2010-11-01,Total,US $ Millions,292389.0
2010-10-01,Foreign Currency Assets,₹ Crores,1198542.0
2010-10-01,Foreign Currency Assets,US $ Millions,269093.0
2010-10-01,Gold,₹ Crores,96510.0
2010-10-01,Gold,US $ Millions,21668.0
2010-10-01,Reserve Tranche Position,₹ Crores,8966.0
2010-10-01,Reserve Tranche Position,US $ Millions,2013.0
2010-10-01,SDRs,₹ Crores,23080.0
2010-10-01,SDRs,US $ Millions,5182.0
2010-10-01,Total,₹ Crores,1327097.0
2010-10-01,Total,US $ Millions,297956.0
2010-09-01,Foreign Currency Assets,₹ Crores,1191418.0
2010-09-01,Foreign Currency Assets,US $ Millions,265231.0
2010-09-01,Gold,₹ Crores,92157.0
2010-09-01,Gold,US $ Millions,20516.0
2010-09-01,Reserve Tranche Position,₹ Crores,8953.0
2010-09-01,Reserve Tranche Position,US $ Millions,1993.0
2010-09-01,SDRs,₹ Crores,23046.0
2010-09-01,SDRs,US $ Millions,5130.0
2010-09-01,Total,₹ Crores,1315574.0
2010-09-01,Total,US $ Millions,292870.0
2010-08-01,Foreign Currency Assets,₹ Crores,1206317.0
2010-08-01,Foreign Currency Assets,US $ Millions,256227.0
2010-08-01,Gold,₹ Crores,94199.0
2010-08-01,Gold,US $ Millions,20008.0
2010-08-01,Reserve Tranche Position,₹ Crores,9098.0
2010-08-01,Reserve Tranche Position,US $ Millions,1932.0
2010-08-01,SDRs,₹ Crores,23420.0
2010-08-01,SDRs,US $ Millions,4974.0
2010-08-01,Total,₹ Crores,1333033.0
2010-08-01,Total,US $ Millions,283142.0
2010-07-01,Foreign Currency Assets,₹ Crores,1201227.0
2010-07-01,Foreign Currency Assets,US $ Millions,258551.0
2010-07-01,Gold,₹ Crores,89564.0
2010-07-01,Gold,US $ Millions,19278.0
2010-07-01,Reserve Tranche Position,₹ Crores,6263.0
2010-07-01,Reserve Tranche Position,US $ Millions,1348.0
2010-07-01,SDRs,₹ Crores,23257.0
2010-07-01,SDRs,US $ Millions,5006.0
2010-07-01,Total,₹ Crores,1320310.0
2010-07-01,Total,US $ Millions,284183.0
2010-06-01,Foreign Currency Assets,₹ Crores,1163266.0
2010-06-01,Foreign Currency Assets,US $ Millions,249628.0
2010-06-01,Gold,₹ Crores,92704.0
2010-06-01,Gold,US $ Millions,19894.0
2010-06-01,Reserve Tranche Position,₹ Crores,6118.0
2010-06-01,Reserve Tranche Position,US $ Millions,1313.0
2010-06-01,SDRs,₹ Crores,22719.0
2010-06-01,SDRs,US $ Millions,4875.0
2010-06-01,Total,₹ Crores,1284807.0
2010-06-01,Total,US $ Millions,275710.0
2010-05-01,Foreign Currency Assets,₹ Crores,1151731.0
2010-05-01,Foreign Currency Assets,US $ Millions,247951.0
2010-05-01,Gold,₹ Crores,90220.0
2010-05-01,Gold,US $ Millions,19423.0
2010-05-01,Reserve Tranche Position,₹ Crores,6079.0
2010-05-01,Reserve Tranche Position,US $ Millions,1309.0
2010-05-01,SDRs,₹ Crores,22580.0
2010-05-01,SDRs,US $ Millions,4861.0
2010-05-01,Total,₹ Crores,1270610.0
2010-05-01,Total,US $ Millions,273544.0
2010-04-01,Foreign Currency Assets,₹ Crores,1132211.0
2010-04-01,Foreign Currency Assets,US $ Millions,254773.0
2010-04-01,Gold,₹ Crores,82377.0
2010-04-01,Gold,US $ Millions,18537.0
2010-04-01,Reserve Tranche Position,₹ Crores,5961.0
2010-04-01,Reserve Tranche Position,US $ Millions,1341.0
2010-04-01,SDRs,₹ Crores,22142.0
2010-04-01,SDRs,US $ Millions,4982.0
2010-04-01,Total,₹ Crores,1242691.0
2010-04-01,Total,US $ Millions,279633.0
2010-03-01,Foreign Currency Assets,₹ Crores,1149650.0
2010-03-01,Foreign Currency Assets,US $ Millions,254685.0
2010-03-01,Gold,₹ Crores,81188.0
2010-03-01,Gold,US $ Millions,17986.0
2010-03-01,Reserve Tranche Position,₹ Crores,6231.0
2010-03-01,Reserve Tranche Position,US $ Millions,1380.0
2010-03-01,SDRs,₹ Crores,22596.0
2010-03-01,SDRs,US $ Millions,5006.0
2010-03-01,Total,₹ Crores,1259665.0
2010-03-01,Total,US $ Millions,279057.0
2010-02-01,Foreign Currency Assets,₹ Crores,1174202.0
2010-02-01,Foreign Currency Assets,US $ Millions,253991.0
2010-02-01,Gold,₹ Crores,82845.0
2010-02-01,Gold,US $ Millions,17920.0
2010-02-01,Reserve Tranche Position,₹ Crores,6441.0
2010-02-01,Reserve Tranche Position,US $ Millions,1393.0
2010-02-01,SDRs,₹ Crores,23360.0
2010-02-01,SDRs,US $ Millions,5053.0
2010-02-01,Total,₹ Crores,1286848.0
2010-02-01,Total,US $ Millions,278357.0
2010-01-01,Foreign Currency Assets,₹ Crores,1188753.0
2010-01-01,Foreign Currency Assets,US $ Millions,256362.0
2010-01-01,Gold,₹ Crores,83724.0
2010-01-01,Gold,US $ Millions,18056.0
2010-01-01,Reserve Tranche Position,₹ Crores,6554.0
2010-01-01,Reserve Tranche Position,US $ Millions,1413.0
2010-01-01,SDRs,₹ Crores,23762.0
2010-01-01,SDRs,US $ Millions,5124.0
2010-01-01,Total,₹ Crores,1302793.0
2010-01-01,Total,US $ Millions,280955.0
2009-12-01,Foreign Currency Assets,₹ Crores,1207065.0
2009-12-01,Foreign Currency Assets,US $ Millions,258583.0
2009-12-01,Gold,₹ Crores,85387.0
2009-12-01,Gold,US $ Millions,18292.0
2009-12-01,Reserve Tranche Position,₹ Crores,6655.0
2009-12-01,Reserve Tranche Position,US $ Millions,1426.0
2009-12-01,SDRs,₹ Crores,24128.0
2009-12-01,SDRs,US $ Millions,5169.0
2009-12-01,Total,₹ Crores,1323235.0
2009-12-01,Total,US $ Millions,283470.0
2009-11-01,Foreign Currency Assets,₹ Crores,1223313.0
2009-11-01,Foreign Currency Assets,US $ Millions,263191.0
2009-11-01,Gold,₹ Crores,84508.0
2009-11-01,Gold,US $ Millions,18182.0
2009-11-01,Reserve Tranche Position,₹ Crores,6806.0
2009-11-01,Reserve Tranche Position,US $ Millions,1464.0
2009-11-01,SDRs,₹ Crores,24676.0
2009-11-01,SDRs,US $ Millions,5309.0
2009-11-01,Total,₹ Crores,1339303.0
2009-11-01,Total,US $ Millions,288146.0
2009-10-01,Foreign Currency Assets,₹ Crores,1252740.0
2009-10-01,Foreign Currency Assets,US $ Millions,266768.0
2009-10-01,Gold,₹ Crores,50718.0
2009-10-01,Gold,US $ Millions,10800.0
2009-10-01,Reserve Tranche Position,₹ Crores,7426.0
2009-10-01,Reserve Tranche Position,US $ Millions,1581.0
2009-10-01,SDRs,₹ Crores,24618.0
2009-10-01,SDRs,US $ Millions,5242.0
2009-10-01,Total,₹ Crores,1335502.0
2009-10-01,Total,US $ Millions,284391.0
2009-09-01,Foreign Currency Assets,₹ Crores,1270049.0
2009-09-01,Foreign Currency Assets,US $ Millions,264373.0
2009-09-01,Gold,₹ Crores,49556.0
2009-09-01,Gold,US $ Millions,10316.0
2009-09-01,Reserve Tranche Position,₹ Crores,6557.0
2009-09-01,Reserve Tranche Position,US $ Millions,1365.0
2009-09-01,SDRs,₹ Crores,25096.0
2009-09-01,SDRs,US $ Millions,5224.0
2009-09-01,Total,₹ Crores,1351258.0
2009-09-01,Total,US $ Millions,281278.0
2009-08-01,Foreign Currency Assets,₹ Crores,1276976.0
2009-08-01,Foreign Currency Assets,US $ Millions,261247.0
2009-08-01,Gold,₹ Crores,48041.0
2009-08-01,Gold,US $ Millions,9828.0
2009-08-01,Reserve Tranche Position,₹ Crores,6595.0
2009-08-01,Reserve Tranche Position,US $ Millions,1349.0
2009-08-01,SDRs,₹ Crores,23597.0
2009-08-01,SDRs,US $ Millions,4828.0
2009-08-01,Total,₹ Crores,1355209.0
2009-08-01,Total,US $ Millions,277252.0
2009-07-01,Foreign Currency Assets,₹ Crores,1255197.0
2009-07-01,Foreign Currency Assets,US $ Millions,260631.0
2009-07-01,Gold,₹ Crores,46576.0
2009-07-01,Gold,US $ Millions,9671.0
2009-07-01,Reserve Tranche Position,₹ Crores,6444.0
2009-07-01,Reserve Tranche Position,US $ Millions,1338.0
2009-07-01,SDRs,₹ Crores,3.0
2009-07-01,SDRs,US $ Millions,1.0
2009-07-01,Total,₹ Crores,1308220.0
2009-07-01,Total,US $ Millions,271641.0
2009-06-01,Foreign Currency Assets,₹ Crores,1216345.0
2009-06-01,Foreign Currency Assets,US $ Millions,254093.0
2009-06-01,Gold,₹ Crores,46914.0
2009-06-01,Gold,US $ Millions,9800.0
2009-06-01,Reserve Tranche Position,₹ Crores,5974.0
2009-06-01,Reserve Tranche Position,US $ Millions,1248.0
2009-06-01,SDRs,₹ Crores,2.0
2009-06-01,SDRs,US $ Millions,1.0
2009-06-01,Total,₹ Crores,1269235.0
2009-06-01,Total,US $ Millions,265142.0
2009-05-01,Foreign Currency Assets,₹ Crores,1189136.0
2009-05-01,Foreign Currency Assets,US $ Millions,251456.0
2009-05-01,Gold,₹ Crores,45417.0
2009-05-01,Gold,US $ Millions,9604.0
2009-05-01,Reserve Tranche Position,₹ Crores,5886.0
2009-05-01,Reserve Tranche Position,US $ Millions,1245.0
2009-05-01,SDRs,₹ Crores,2.0
2009-05-01,SDRs,US $ Millions,1.0
2009-05-01,Total,₹ Crores,1240441.0
2009-05-01,Total,US $ Millions,262306.0
2009-04-01,Foreign Currency Assets,₹ Crores,1212747.0
2009-04-01,Foreign Currency Assets,US $ Millions,241487.0
2009-04-01,Gold,₹ Crores,46357.0
2009-04-01,Gold,US $ Millions,9231.0
2009-04-01,Reserve Tranche Position,₹ Crores,4938.0
2009-04-01,Reserve Tranche Position,US $ Millions,983.0
2009-04-01,SDRs,₹ Crores,6.0
2009-04-01,SDRs,US $ Millions,1.0
2009-04-01,Total,₹ Crores,1264048.0
2009-04-01,Total,US $ Millions,251702.0
2009-03-01,Foreign Currency Assets,₹ Crores,1230066.0
2009-03-01,Foreign Currency Assets,US $ Millions,241426.0
2009-03-01,Gold,₹ Crores,48793.0
2009-03-01,Gold,US $ Millions,9577.0
2009-03-01,Reserve Tranche Position,₹ Crores,5000.0
2009-03-01,Reserve Tranche Position,US $ Millions,981.0
2009-03-01,SDRs,₹ Crores,6.0
2009-03-01,SDRs,US $ Millions,1.0
2009-03-01,Total,₹ Crores,1283865.0
2009-03-01,Total,US $ Millions,251985.0
2009-02-01,Foreign Currency Assets,₹ Crores,1211002.0
2009-02-01,Foreign Currency Assets,US $ Millions,238715.0
2009-02-01,Gold,₹ Crores,49440.0
2009-02-01,Gold,US $ Millions,9746.0
2009-02-01,Reserve Tranche Position,₹ Crores,4141.0
2009-02-01,Reserve Tranche Position,US $ Millions,816.0
2009-02-01,SDRs,₹ Crores,6.0
2009-02-01,SDRs,US $ Millions,1.0
2009-02-01,Total,₹ Crores,1264589.0
2009-02-01,Total,US $ Millions,249278.0
2009-01-01,Foreign Currency Assets,₹ Crores,1171060.0
2009-01-01,Foreign Currency Assets,US $ Millions,238894.0
2009-01-01,Gold,₹ Crores,43549.0
2009-01-01,Gold,US $ Millions,8884.0
2009-01-01,Reserve Tranche Position,₹ Crores,4068.0
2009-01-01,Reserve Tranche Position,US $ Millions,830.0
2009-01-01,SDRs,₹ Crores,15.0
2009-01-01,SDRs,US $ Millions,3.0
2009-01-01,Total,₹ Crores,1218692.0
2009-01-01,Total,US $ Millions,248611.0
2008-12-01,Foreign Currency Assets,₹ Crores,1194790.0
2008-12-01,Foreign Currency Assets,US $ Millions,246603.0
2008-12-01,Gold,₹ Crores,41110.0
2008-12-01,Gold,US $ Millions,8485.0
2008-12-01,Reserve Tranche Position,₹ Crores,4248.0
2008-12-01,Reserve Tranche Position,US $ Millions,877.0
2008-12-01,SDRs,₹ Crores,13.0
2008-12-01,SDRs,US $ Millions,3.0
2008-12-01,Total,₹ Crores,1240161.0
2008-12-01,Total,US $ Millions,255968.0
2008-11-01,Foreign Currency Assets,₹ Crores,1191016.0
2008-11-01,Foreign Currency Assets,US $ Millions,238968.0
2008-11-01,Gold,₹ Crores,39177.0
2008-11-01,Gold,US $ Millions,7861.0
2008-11-01,Reserve Tranche Position,₹ Crores,4254.0
2008-11-01,Reserve Tranche Position,US $ Millions,854.0
2008-11-01,SDRs,₹ Crores,13.0
2008-11-01,SDRs,US $ Millions,3.0
2008-11-01,Total,₹ Crores,1234460.0
2008-11-01,Total,US $ Millions,247686.0
2008-10-01,Foreign Currency Assets,₹ Crores,1201920.0
2008-10-01,Foreign Currency Assets,US $ Millions,244045.0
2008-10-01,Gold,₹ Crores,41281.0
2008-10-01,Gold,US $ Millions,8382.0
2008-10-01,Reserve Tranche Position,₹ Crores,2200.0
2008-10-01,Reserve Tranche Position,US $ Millions,447.0
2008-10-01,SDRs,₹ Crores,43.0
2008-10-01,SDRs,US $ Millions,9.0
2008-10-01,Total,₹ Crores,1245444.0
2008-10-01,Total,US $ Millions,252883.0
2008-09-01,Foreign Currency Assets,₹ Crores,1301645.0
2008-09-01,Foreign Currency Assets,US $ Millions,277300.0
2008-09-01,Gold,₹ Crores,40205.0
2008-09-01,Gold,US $ Millions,8565.0
2008-09-01,Reserve Tranche Position,₹ Crores,2194.0
2008-09-01,Reserve Tranche Position,US $ Millions,467.0
2008-09-01,SDRs,₹ Crores,17.0
2008-09-01,SDRs,US $ Millions,4.0
2008-09-01,Total,₹ Crores,1344061.0
2008-09-01,Total,US $ Millions,286336.0
2008-08-01,Foreign Currency Assets,₹ Crores,1252904.0
2008-08-01,Foreign Currency Assets,US $ Millions,286117.0
2008-08-01,Gold,₹ Crores,38064.0
2008-08-01,Gold,US $ Millions,8692.0
2008-08-01,Reserve Tranche Position,₹ Crores,2173.0
2008-08-01,Reserve Tranche Position,US $ Millions,496.0
2008-08-01,SDRs,₹ Crores,16.0
2008-08-01,SDRs,US $ Millions,4.0
2008-08-01,Total,₹ Crores,1293157.0
2008-08-01,Total,US $ Millions,295309.0
2008-07-01,Foreign Currency Assets,₹ Crores,1257357.0
2008-07-01,Foreign Currency Assets,US $ Millions,295918.0
2008-07-01,Gold,₹ Crores,41366.0
2008-07-01,Gold,US $ Millions,9735.0
2008-07-01,Reserve Tranche Position,₹ Crores,2177.0
2008-07-01,Reserve Tranche Position,US $ Millions,512.0
2008-07-01,SDRs,₹ Crores,47.0
2008-07-01,SDRs,US $ Millions,11.0
2008-07-01,Total,₹ Crores,1300947.0
2008-07-01,Total,US $ Millions,306176.0
2008-06-01,Foreign Currency Assets,₹ Crores,1298552.0
2008-06-01,Foreign Currency Assets,US $ Millions,302340.0
2008-06-01,Gold,₹ Crores,39548.0
2008-06-01,Gold,US $ Millions,9208.0
2008-06-01,Reserve Tranche Position,₹ Crores,2269.0
2008-06-01,Reserve Tranche Position,US $ Millions,528.0
2008-06-01,SDRs,₹ Crores,48.0
2008-06-01,SDRs,US $ Millions,11.0
2008-06-01,Total,₹ Crores,1340417.0
2008-06-01,Total,US $ Millions,312087.0
2008-05-01,Foreign Currency Assets,₹ Crores,1298464.0
2008-05-01,Foreign Currency Assets,US $ Millions,304875.0
2008-05-01,Gold,₹ Crores,39190.0
2008-05-01,Gold,US $ Millions,9202.0
2008-05-01,Reserve Tranche Position,₹ Crores,2242.0
2008-05-01,Reserve Tranche Position,US $ Millions,526.0
2008-05-01,SDRs,₹ Crores,47.0
2008-05-01,SDRs,US $ Millions,11.0
2008-05-01,Total,₹ Crores,1339943.0
2008-05-01,Total,US $ Millions,314614.0
2008-04-01,Foreign Currency Assets,₹ Crores,1230896.0
2008-04-01,Foreign Currency Assets,US $ Millions,304225.0
2008-04-01,Gold,₹ Crores,38141.0
2008-04-01,Gold,US $ Millions,9427.0
2008-04-01,Reserve Tranche Position,₹ Crores,1961.0
2008-04-01,Reserve Tranche Position,US $ Millions,485.0
2008-04-01,SDRs,₹ Crores,74.0
2008-04-01,SDRs,US $ Millions,18.0
2008-04-01,Total,₹ Crores,1271072.0
2008-04-01,Total,US $ Millions,314155.0
2008-03-01,Foreign Currency Assets,₹ Crores,1196023.0
2008-03-01,Foreign Currency Assets,US $ Millions,299230.0
2008-03-01,Gold,₹ Crores,40124.0
2008-03-01,Gold,US $ Millions,10039.0
2008-03-01,Reserve Tranche Position,₹ Crores,1744.0
2008-03-01,Reserve Tranche Position,US $ Millions,436.0
2008-03-01,SDRs,₹ Crores,74.0
2008-03-01,SDRs,US $ Millions,18.0
2008-03-01,Total,₹ Crores,1237965.0
2008-03-01,Total,US $ Millions,309723.0
2008-02-01,Foreign Currency Assets,₹ Crores,1162671.0
2008-02-01,Foreign Currency Assets,US $ Millions,291250.0
2008-02-01,Gold,₹ Crores,38154.0
2008-02-01,Gold,US $ Millions,9558.0
2008-02-01,Reserve Tranche Position,₹ Crores,1705.0
2008-02-01,Reserve Tranche Position,US $ Millions,427.0
2008-02-01,SDRs,₹ Crores,1.0
