date,series,sector,index,inflation
2026-03-01,Current,Rural,104.74,4.14
2026-03-01,Current,Urban,104.94,3.91
2026-03-01,Current,Combined,104.82,4.05
2026-03-01,Current,Rural,103.37,2.53
2026-03-01,Current,Urban,103.24,1.68
2026-03-01,Current,Combined,103.34,2.31
2026-03-01,Current,Rural,104.14,3.11
2026-03-01,Current,Urban,102.86,1.78
2026-03-01,Current,Combined,103.88,2.83
2026-03-01,Current,Rural,104.14,3.11
2026-03-01,Current,Urban,102.7,1.78
2026-03-01,Current,Combined,103.93,2.92
2026-03-01,Current,Urban,104.21,3.17
2026-03-01,Current,Combined,104.21,3.17
2026-03-01,Current,Rural,101.74,1.35
2026-03-01,Current,Urban,101.98,1.35
2026-03-01,Current,Combined,101.82,1.35
2026-03-01,Current,Rural,103.55,1.71
2026-03-01,Current,Urban,104.03,2.5
2026-03-01,Current,Combined,103.86,2.22
2026-03-01,Current,Rural,104.17,3.53
2026-03-01,Current,Urban,103.82,2.73
2026-03-01,Current,Combined,103.96,3.05
2026-03-01,Current,Rural,104.87,2.99
2026-03-01,Current,Urban,104.7,2.38
2026-03-01,Current,Combined,104.78,2.68
2026-03-01,Current,Rural,104.63,2.88
2026-03-01,Current,Urban,105.64,3.92
2026-03-01,Current,Combined,104.79,3.05
2026-03-01,Current,Rural,105.0,2.03
2026-03-01,Current,Urban,104.6,2.66
2026-03-01,Current,Combined,104.89,2.21
2026-03-01,Current,Rural,104.32,3.6
2026-03-01,Current,Urban,102.58,2.06
2026-03-01,Current,Combined,103.73,3.08
2026-03-01,Current,Rural,106.2,4.23
2026-03-01,Current,Urban,105.43,3.68
2026-03-01,Current,Combined,105.81,3.95
2026-03-01,Current,Rural,106.24,4.31
2026-03-01,Current,Urban,104.92,3.06
2026-03-01,Current,Combined,105.51,3.62
2026-03-01,Current,Rural,105.41,0.82
2026-03-01,Current,Urban,105.41,1.3
2026-03-01,Current,Combined,105.41,0.94
2026-03-01,Current,Rural,104.41,2.69
2026-03-01,Current,Urban,105.71,3.54
2026-03-01,Current,Combined,105.36,3.31
2026-03-01,Current,Rural,104.82,3.5
2026-03-01,Current,Urban,104.49,3.45
2026-03-01,Current,Combined,104.69,3.48
2026-03-01,Current,Rural,105.93,4.37
2026-03-01,Current,Urban,104.62,2.89
2026-03-01,Current,Combined,105.13,3.47
2026-03-01,Current,Rural,102.48,1.73
2026-03-01,Current,Urban,103.51,2.46
2026-03-01,Current,Combined,102.81,1.96
2026-03-01,Current,Rural,104.59,3.31
2026-03-01,Current,Urban,103.17,1.99
2026-03-01,Current,Combined,104.22,2.97
2026-03-01,Current,Rural,103.35,1.02
2026-03-01,Current,Urban,102.16,0.4
2026-03-01,Current,Combined,102.67,0.66
2026-03-01,Current,Rural,106.01,3.72
2026-03-01,Current,Urban,103.47,2.44
2026-03-01,Current,Combined,105.04,3.23
2026-03-01,Current,Rural,101.54,1.83
2026-03-01,Current,Urban,103.22,1.85
2026-03-01,Current,Combined,103.19,1.85
2026-03-01,Current,Rural,103.71,3.5
2026-03-01,Current,Urban,103.46,2.82
2026-03-01,Current,Combined,103.65,3.32
2026-03-01,Current,Rural,105.85,4.31
2026-03-01,Current,Urban,105.52,4.13
2026-03-01,Current,Combined,105.62,4.18
2026-03-01,Current,Rural,105.59,3.21
2026-03-01,Current,Urban,104.51,2.69
2026-03-01,Current,Combined,105.09,2.97
2026-03-01,Current,Rural,105.59,3.86
2026-03-01,Current,Urban,104.95,3.23
2026-03-01,Current,Combined,105.36,3.64
2026-03-01,Current,Rural,106.4,4.41
2026-03-01,Current,Urban,105.64,4.02
2026-03-01,Current,Combined,106.14,4.28
2026-03-01,Current,Rural,105.2,3.83
2026-03-01,Current,Urban,105.36,3.72
2026-03-01,Current,Combined,105.29,3.77
2026-03-01,Current,Rural,108.15,6.64
2026-03-01,Current,Urban,107.21,5.25
2026-03-01,Current,Combined,107.61,5.84
2026-03-01,Current,Rural,103.32,3.26
2026-03-01,Current,Urban,103.97,3.23
2026-03-01,Current,Combined,103.81,3.24
2026-03-01,Current,Rural,102.11,2.3
2026-03-01,Current,Urban,102.47,2.23
2026-03-01,Current,Combined,102.19,2.28
2026-03-01,Current,Rural,105.21,3.52
