date,cash,positions_value,equity,n_open
2011-02-21,50000.0,0.0,50000.0,0
2011-02-22,50000.0,0.0,50000.0,0
2011-02-23,50000.0,0.0,50000.0,0
2011-02-24,50000.0,0.0,50000.0,0
2011-02-25,50000.0,0.0,50000.0,0
2011-02-28,50000.0,0.0,50000.0,0
2011-03-01,50000.0,0.0,50000.0,0
2011-03-03,50000.0,0.0,50000.0,0
2011-03-04,50000.0,0.0,50000.0,0
2011-03-07,50000.0,0.0,50000.0,0
2011-03-08,50000.0,0.0,50000.0,0
2011-03-09,50000.0,0.0,50000.0,0
2011-03-10,50000.0,0.0,50000.0,0
2011-03-11,50000.0,0.0,50000.0,0
2011-03-14,50000.0,0.0,50000.0,0
2011-03-15,50000.0,0.0,50000.0,0
2011-03-16,50000.0,0.0,50000.0,0
2011-03-17,50000.0,0.0,50000.0,0
2011-03-18,50000.0,0.0,50000.0,0
2011-03-21,50000.0,0.0,50000.0,0
2011-03-22,50000.0,0.0,50000.0,0
2011-03-23,50000.0,0.0,50000.0,0
2011-03-24,50000.0,0.0,50000.0,0
2011-03-25,50000.0,0.0,50000.0,0
2011-03-28,50000.0,0.0,50000.0,0
2011-03-29,50000.0,0.0,50000.0,0
2011-03-30,50000.0,0.0,50000.0,0
2011-03-31,50000.0,0.0,50000.0,0
2011-04-01,50000.0,0.0,50000.0,0
2011-04-04,50000.0,0.0,50000.0,0
2011-04-05,50000.0,0.0,50000.0,0
2011-04-06,50000.0,0.0,50000.0,0
2011-04-07,50000.0,0.0,50000.0,0
2011-04-08,50000.0,0.0,50000.0,0
2011-04-11,50000.0,0.0,50000.0,0
2011-04-13,50000.0,0.0,50000.0,0
2011-04-15,50000.0,0.0,50000.0,0
2011-04-18,50000.0,0.0,50000.0,0
2011-04-19,50000.0,0.0,50000.0,0
2011-04-20,50000.0,0.0,50000.0,0
2011-04-21,50000.0,0.0,50000.0,0
2011-04-25,50000.0,0.0,50000.0,0
2011-04-26,50000.0,0.0,50000.0,0
2011-04-27,50000.0,0.0,50000.0,0
2011-04-28,50000.0,0.0,50000.0,0
2011-04-29,50000.0,0.0,50000.0,0
2011-05-02,50000.0,0.0,50000.0,0
2011-05-03,50000.0,0.0,50000.0,0
2011-05-04,50000.0,0.0,50000.0,0
2011-05-05,50000.0,0.0,50000.0,0
2011-05-06,50000.0,0.0,50000.0,0
2011-05-09,50000.0,0.0,50000.0,0
2011-05-10,50000.0,0.0,50000.0,0
2011-05-11,50000.0,0.0,50000.0,0
2011-05-12,50000.0,0.0,50000.0,0
2011-05-13,50000.0,0.0,50000.0,0
2011-05-16,50000.0,0.0,50000.0,0
2011-05-17,50000.0,0.0,50000.0,0
2011-05-18,50000.0,0.0,50000.0,0
2011-05-19,50000.0,0.0,50000.0,0
2011-05-20,50000.0,0.0,50000.0,0
2011-05-23,50000.0,0.0,50000.0,0
2011-05-24,50000.0,0.0,50000.0,0
2011-05-25,50000.0,0.0,50000.0,0
2011-05-26,50000.0,0.0,50000.0,0
2011-05-27,50000.0,0.0,50000.0,0
2011-05-30,50000.0,0.0,50000.0,0
2011-05-31,50000.0,0.0,50000.0,0
2011-06-01,50000.0,0.0,50000.0,0
2011-06-02,50000.0,0.0,50000.0,0
2011-06-03,50000.0,0.0,50000.0,0
2011-06-06,50000.0,0.0,50000.0,0
2011-06-07,50000.0,0.0,50000.0,0
2011-06-08,50000.0,0.0,50000.0,0
2011-06-09,50000.0,0.0,50000.0,0
2011-06-10,50000.0,0.0,50000.0,0
2011-06-13,50000.0,0.0,50000.0,0
2011-06-14,50000.0,0.0,50000.0,0
2011-06-15,50000.0,0.0,50000.0,0
2011-06-16,50000.0,0.0,50000.0,0
2011-06-17,50000.0,0.0,50000.0,0
2011-06-20,50000.0,0.0,50000.0,0
2011-06-21,50000.0,0.0,50000.0,0
2011-06-22,50000.0,0.0,50000.0,0
2011-06-23,50000.0,0.0,50000.0,0
2011-06-24,50000.0,0.0,50000.0,0
2011-06-27,50000.0,0.0,50000.0,0
2011-06-28,50000.0,0.0,50000.0,0
2011-06-29,50000.0,0.0,50000.0,0
2011-06-30,50000.0,0.0,50000.0,0
2011-07-01,50000.0,0.0,50000.0,0
2011-07-04,50000.0,0.0,50000.0,0
2011-07-05,50000.0,0.0,50000.0,0
2011-07-06,50000.0,0.0,50000.0,0
2011-07-07,50000.0,0.0,50000.0,0
2011-07-08,50000.0,0.0,50000.0,0
2011-07-11,50000.0,0.0,50000.0,0
2011-07-12,50000.0,0.0,50000.0,0
2011-07-13,50000.0,0.0,50000.0,0
2011-07-14,50000.0,0.0,50000.0,0
2011-07-15,50000.0,0.0,50000.0,0
2011-07-18,50000.0,0.0,50000.0,0
2011-07-19,50000.0,0.0,50000.0,0
2011-07-20,50000.0,0.0,50000.0,0
2011-07-21,50000.0,0.0,50000.0,0
2011-07-22,50000.0,0.0,50000.0,0
2011-07-25,50000.0,0.0,50000.0,0
2011-07-26,50000.0,0.0,50000.0,0
2011-07-27,50000.0,0.0,50000.0,0
2011-07-28,50000.0,0.0,50000.0,0
2011-07-29,50000.0,0.0,50000.0,0
2011-08-01,50000.0,0.0,50000.0,0
2011-08-02,50000.0,0.0,50000.0,0
2011-08-03,50000.0,0.0,50000.0,0
2011-08-04,50000.0,0.0,50000.0,0
2011-08-05,50000.0,0.0,50000.0,0
2011-08-08,50000.0,0.0,50000.0,0
2011-08-09,50000.0,0.0,50000.0,0
2011-08-10,50000.0,0.0,50000.0,0
2011-08-11,50000.0,0.0,50000.0,0
2011-08-12,50000.0,0.0,50000.0,0
2011-08-16,50000.0,0.0,50000.0,0
2011-08-17,50000.0,0.0,50000.0,0
2011-08-18,50000.0,0.0,50000.0,0
2011-08-19,50000.0,0.0,50000.0,0
2011-08-22,50000.0,0.0,50000.0,0
2011-08-23,50000.0,0.0,50000.0,0
2011-08-24,50000.0,0.0,50000.0,0
2011-08-25,50000.0,0.0,50000.0,0
2011-08-26,50000.0,0.0,50000.0,0
2011-08-29,50000.0,0.0,50000.0,0
2011-08-30,50000.0,0.0,50000.0,0
2011-09-02,50000.0,0.0,50000.0,0
2011-09-05,50000.0,0.0,50000.0,0
2011-09-06,50000.0,0.0,50000.0,0
2011-09-07,50000.0,0.0,50000.0,0
2011-09-08,50000.0,0.0,50000.0,0
2011-09-09,50000.0,0.0,50000.0,0
2011-09-12,50000.0,0.0,50000.0,0
2011-09-13,50000.0,0.0,50000.0,0
2011-09-14,50000.0,0.0,50000.0,0
2011-09-15,50000.0,0.0,50000.0,0
2011-09-16,50000.0,0.0,50000.0,0
2011-09-19,50000.0,0.0,50000.0,0
2011-09-20,50000.0,0.0,50000.0,0
2011-09-21,50000.0,0.0,50000.0,0
2011-09-22,50000.0,0.0,50000.0,0
2011-09-23,50000.0,0.0,50000.0,0
2011-09-26,50000.0,0.0,50000.0,0
2011-09-27,50000.0,0.0,50000.0,0
2011-09-28,50000.0,0.0,50000.0,0
2011-09-29,50000.0,0.0,50000.0,0
2011-09-30,50000.0,0.0,50000.0,0
2011-10-03,50000.0,0.0,50000.0,0
2011-10-04,50000.0,0.0,50000.0,0
2011-10-05,50000.0,0.0,50000.0,0
2011-10-07,50000.0,0.0,50000.0,0
2011-10-10,50000.0,0.0,50000.0,0
2011-10-11,50000.0,0.0,50000.0,0
2011-10-12,50000.0,0.0,50000.0,0
2011-10-13,50000.0,0.0,50000.0,0
2011-10-14,50000.0,0.0,50000.0,0
2011-10-17,50000.0,0.0,50000.0,0
2011-10-18,50000.0,0.0,50000.0,0
2011-10-19,50000.0,0.0,50000.0,0
2011-10-20,50000.0,0.0,50000.0,0
2011-10-21,50000.0,0.0,50000.0,0
2011-10-24,50000.0,0.0,50000.0,0
2011-10-25,50000.0,0.0,50000.0,0
2011-10-26,50000.0,0.0,50000.0,0
2011-10-28,50000.0,0.0,50000.0,0
2011-10-31,50000.0,0.0,50000.0,0
2011-11-01,50000.0,0.0,50000.0,0
2011-11-02,50000.0,0.0,50000.0,0
2011-11-03,50000.0,0.0,50000.0,0
2011-11-04,50000.0,0.0,50000.0,0
2011-11-08,50000.0,0.0,50000.0,0
2011-11-09,50000.0,0.0,50000.0,0
2011-11-11,50000.0,0.0,50000.0,0
2011-11-14,50000.0,0.0,50000.0,0
2011-11-15,50000.0,0.0,50000.0,0
2011-11-16,50000.0,0.0,50000.0,0
2011-11-17,50000.0,0.0,50000.0,0
2011-11-18,50000.0,0.0,50000.0,0
2011-11-21,50000.0,0.0,50000.0,0
2011-11-22,50000.0,0.0,50000.0,0
2011-11-23,50000.0,0.0,50000.0,0
2011-11-24,50000.0,0.0,50000.0,0
2011-11-25,50000.0,0.0,50000.0,0
2011-11-28,50000.0,0.0,50000.0,0
2011-11-29,50000.0,0.0,50000.0,0
2011-11-30,50000.0,0.0,50000.0,0
2011-12-01,50000.0,0.0,50000.0,0
2011-12-02,50000.0,0.0,50000.0,0
2011-12-05,50000.0,0.0,50000.0,0
2011-12-07,50000.0,0.0,50000.0,0
2011-12-08,50000.0,0.0,50000.0,0
2011-12-09,50000.0,0.0,50000.0,0
2011-12-12,50000.0,0.0,50000.0,0
2011-12-13,50000.0,0.0,50000.0,0
2011-12-14,50000.0,0.0,50000.0,0
2011-12-15,50000.0,0.0,50000.0,0
2011-12-16,50000.0,0.0,50000.0,0
2011-12-19,50000.0,0.0,50000.0,0
2011-12-20,50000.0,0.0,50000.0,0
2011-12-21,50000.0,0.0,50000.0,0
2011-12-22,50000.0,0.0,50000.0,0
2011-12-23,50000.0,0.0,50000.0,0
2011-12-26,50000.0,0.0,50000.0,0
2011-12-27,50000.0,0.0,50000.0,0
2011-12-28,50000.0,0.0,50000.0,0
2011-12-29,50000.0,0.0,50000.0,0
2011-12-30,50000.0,0.0,50000.0,0
2012-01-02,50000.0,0.0,50000.0,0
2012-01-03,50000.0,0.0,50000.0,0
2012-01-04,50000.0,0.0,50000.0,0
