symbol,sector,signal_date,entry_date,entry_price,shares,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,gross_pnl_pct,net_pnl_pct,cost_rupees
MOTILALOFS,Financial Services,2021-12-16,2021-12-17,979.0,9,908.6584508535589,1154.8538728661028,2021-12-20,908.6584508535589,stop,1,-7.185040770831574,-7.496248124388363,27.42047992188863
WIPRO,IT,2021-12-17,2021-12-20,667.55,13,634.4203597353207,750.3741006616981,2021-12-29,705.25,time,7,5.647517039922101,5.316595977409929,28.717826186400004
FSL,IT,2021-12-24,2021-12-27,184.0,50,168.20699690801712,223.48250772995718,2022-01-05,185.0,time,7,0.5434782608695565,0.22039815543477392,29.7233697
SUNTECK,Unknown:SUNTECK,2021-12-27,2021-12-28,483.9,19,442.1832553269039,588.1918616827402,2022-01-06,513.05,time,7,6.02397189501962,5.6924725127712215,30.4783847033
TATACOFFEE,Unknown:TATACOFFEE,2021-12-27,2021-12-28,219.65,42,203.05928273596388,261.1267931600903,2022-01-06,211.95,time,7,-3.5055770544047404,-3.8224368957887607,29.23127094720001
SUNPHARMA,Pharma,2021-12-28,2021-12-29,822.5,11,781.3573125776081,925.3567185559796,2022-01-07,829.6,time,7,0.8632218844984774,0.5396505805957418,29.2751137206
ZENSARTECH,IT,2021-12-28,2021-12-29,504.0,18,459.94952741249847,614.1261814687539,2022-01-07,503.0,time,7,-0.1984126984126977,-0.520353091666666,29.206432476000003
ABFRL,Unknown:ABFRL,2022-01-04,2022-01-05,286.35,32,263.1156824132114,344.4357939669715,2022-01-14,306.5,time,7,7.036843024270989,6.703787643059186,30.5185306912
BAJFINANCE,Financial Services,2022-01-05,2022-01-06,7525.0,1,7107.434146269575,8568.914634326062,2022-01-17,7819.5,time,7,3.9136212624584665,3.585363855720925,24.701369857000003
ALKEM,Pharma,2022-01-06,2022-01-07,3690.0,2,3489.6136877326517,4190.965780668372,2022-01-18,3609.3,time,7,-2.1869918699186974,-2.50587735614634,23.533748883600005
EICHERMOT,Auto,2022-01-06,2022-01-07,2825.0,3,2674.4797372355642,3201.3006569110894,2022-01-18,2859.3,time,7,1.2141592920354105,0.8900488689628441,27.468358355400003
CENTURYTEX,Unknown:CENTURYTEX,2022-01-07,2022-01-10,950.0,9,875.7069941449763,1135.7325146375592,2022-01-19,980.1,time,7,3.168421052631576,2.841308441831576,27.9681282234
GRASIM,Cement,2022-01-17,2022-01-18,1927.95,4,1829.9649434107446,2172.912641473139,2022-01-19,1829.9649434107446,stop,1,-5.082344282230111,-5.396781852802798,24.24879656742446
FEDERALBNK,Banking,2022-01-13,2022-01-14,100.45,94,95.03257219781837,113.99356950545408,2022-01-21,95.03257219781837,stop,5,-5.393158588533231,-5.707118678087403,29.64505353597358
HFCL,Unknown:HFCL,2022-01-14,2022-01-17,92.6,102,83.66475267407287,114.9381183148178,2022-01-21,83.66475267407287,stop,4,-9.649295168387816,-9.956716870268464,29.036594586030986
BSE,Financial Services,2022-01-19,2022-01-20,2136.0,4,1963.0408624365552,2568.397843908612,2022-01-24,1963.0408624365552,stop,2,-8.09733790091034,-8.407143759896176,26.46981259174984
HEROMOTOCO,Auto,2022-01-17,2022-01-18,2703.0,3,2596.9565631926343,2968.1085920184146,2022-01-28,2720.2,time,7,0.6363300036995811,0.31310725700331765,26.210132529600003
BANDHANBNK,Banking,2022-01-19,2022-01-20,304.5,30,282.23886437495656,360.1528390626086,2022-02-01,318.85,time,7,4.712643678160933,4.3831587924138065,30.098444312999998
NTPC,Power,2022-01-28,2022-01-31,142.0,63,134.70607864373932,160.23480339065173,2022-02-04,134.70607864373932,stop,4,-5.136564335394844,-5.4509186117121375,28.122133559345095
AUBANK,Banking,2022-01-31,2022-02-01,1324.0,6,1223.3536560845828,1575.6158597885428,2022-02-10,1368.0,time,7,3.3232628398791597,2.9959123570997037,26.004722351999998
HINDALCO,Metals,2022-02-01,2022-02-02,515.0,17,485.0547609808378,589.8630975479056,2022-02-11,547.75,time,7,6.359223300970873,6.0272088967961155,29.067861085500002
NMDC,Metals,2022-02-02,2022-02-03,150.75,60,141.68128034707442,173.42179913231396,2022-02-14,156.0,time,7,3.482587064676612,3.154991823880592,29.630989529999997
INDIGO,Unknown:INDIGO,2022-02-07,2022-02-08,2165.0,4,2002.669849015624,2570.82537746094,2022-02-17,2197.95,time,7,1.5219399538106249,1.1973567100831422,28.108908906799996
ADANIPOWER,Power,2022-02-10,2022-02-11,122.7,75,110.10657263902111,154.18356840244724,2022-02-22,113.65,time,7,-7.375713121434391,-7.686627559168702,28.6119011325
BANDHANBNK,Banking,2022-02-15,2022-02-16,329.8,27,307.20828804059215,386.2792798985196,2022-02-22,307.20828804059215,stop,4,-6.850124911888377,-7.161846771895487,27.75758474619306
INDUSINDBK,Banking,2022-02-11,2022-02-14,959.2,9,893.9481697037269,1122.3295757406831,2022-02-23,944.0,time,7,-1.5846538782318675,-1.904464691743127,27.608627908800003
LAURUSLABS,Pharma,2022-02-11,2022-02-14,542.0,17,500.75056287276016,645.1235928180997,2022-02-23,532.45,time,7,-1.7619926199261893,-2.0815310010516503,29.442266436900006
TORNTPHARM,Pharma,2022-03-17,2022-03-21,2908.0,3,2734.2826763806543,3342.2933090483643,2022-03-21,2734.2826763806543,stop,0,-5.973773164351637,-6.286841298698458,27.312064040416644
