seed,n_signals,n_resolved,n_unresolved,n_no_fill,mean_net_pct,median_net_pct,std_net_pct,mean_gross_pct,win_rate_pct,hit_rate_pct,expiry_rate_pct,mean_held_days,mean_cost_pct
53,38471,37942,40,489,-0.6020039687495435,-0.6712176740692174,8.536834861981864,-0.2801892026876317,45.73296083495862,5.971306708026367,72.81113278161405,5.94164777818776,0.32181476606191206
54,38481,37919,39,523,-0.6071309608577679,-0.6758762873722932,8.500511131060652,-0.2853240831327025,45.758063240064345,5.96854547230634,73.00298003639337,5.943089216487777,0.3218068777250654
55,38531,37993,37,501,-0.6119412058354028,-0.6392178266666655,8.52000187333557,-0.29014172910333613,45.908456820993344,5.9970887918486175,72.87658252836049,5.94364751401574,0.3217994767320665
56,38461,37912,40,509,-0.5901514897534058,-0.6604529176353993,8.472411804351383,-0.2683184875903228,45.86674403882676,6.145251396648045,73.08767672504747,5.952811774635999,0.3218330021630831
57,38383,37818,43,522,-0.5744974862880954,-0.6340729199729173,8.493501206283057,-0.25264039903774765,46.09180813369295,5.996246172083374,73.23232323232324,5.957480564810408,0.32185708725034784
58,38379,37809,38,532,-0.6473207734375592,-0.6683331632582403,8.517557617836752,-0.32557573134101425,45.91499378454865,5.617649917387501,72.78690258933058,5.940199423417705,0.3217450420965449
59,38366,37809,45,512,-0.6118985037688864,-0.7049414207534939,8.506250272564237,-0.2900989613358636,45.8515168346161,5.7863214837712516,72.62027559575762,5.9384802560236984,0.32179954243302283
60,38417,37888,48,481,-0.6419249448159532,-0.7181075387091886,8.510034508045564,-0.32017160075349227,45.49461570945946,5.669551687250802,72.85948057432432,5.942409206081081,0.32175334406246087
61,38451,37920,35,496,-0.6129969440452924,-0.6504623075955479,8.534396638633561,-0.2911990916610785,45.87289029535865,6.136626785025086,72.66877637130801,5.940084388185654,0.3217978523842139
62,38451,37874,45,532,-0.6243356590919321,-0.693829003926184,8.528509333427282,-0.30255525233700886,45.52727464751545,5.988428158148506,72.61973913502666,5.936288746897608,0.3217804067549233
63,38280,37758,37,485,-0.6075814479738445,-0.6454827857729881,8.497503614310121,-0.2857752633635803,45.945230149902,5.4858934169279,72.9646697388633,5.950235711637269,0.32180618461026406
64,38446,37899,37,510,-0.6476484702480119,-0.6750592544169747,8.551045311750405,-0.3259039323423785,45.72152299532969,6.171890021149779,72.5533655241563,5.933613024090345,0.32174453790563345
65,38506,37971,44,491,-0.6420367827005942,-0.7145688833005845,8.51626898860111,-0.32028361071074185,45.69013194279845,5.731742798952575,72.84506597139922,5.940375549761661,0.32175317198985226
66,38488,37970,38,480,-0.6035232962051017,-0.6458963423014623,8.527172740811343,-0.2817108677646444,45.838820121148274,5.92085979482169,73.0445088227548,5.9552804845931,0.32181242844045743
67,38233,37706,43,484,-0.6128446044891936,-0.6259103230836168,8.555486832870649,-0.2910465177169197,45.9316819604307,6.146130396302488,73.03081737654485,5.9524744072561395,0.32179808677227384
68,38501,37954,41,506,-0.6198115402271386,-0.6711062190038699,8.481392270383791,-0.29802417270988396,45.83443115350161,5.962587685113016,72.95673710280866,5.942641091848026,0.3217873675172546
69,38414,37886,36,492,-0.5701476925210732,-0.6149909215536441,8.521420080436545,-0.24828391272318046,45.98004539935596,5.936792359948804,73.19062450509423,5.961120202713404,0.32186377979789293
70,38478,37945,34,499,-0.5857256353750732,-0.6073576426042234,8.533110856905816,-0.26388582363837776,46.12201871129266,6.376557632398754,72.92923968902359,5.947792858084069,0.3218398117366953
71,38564,37990,41,533,-0.6022617980846731,-0.6580960264962258,8.479549343108637,-0.2804474287163002,45.875230323769415,5.85194577196918,73.01131876809687,5.951987365096078,0.3218143693683729
