symbol,sector,signal_date,entry_date,entry_price,shares,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,gross_pnl_pct,net_pnl_pct,cost_rupees
TATACHEM,Chemicals,2011-11-29,2011-11-30,340.65,15,318.7372487817322,395.43187804566935,2011-12-12,353.0,time,7,3.6254219873770754,3.297607319859095,16.7505099735
SUNPHARMA,Pharma,2011-11-30,2011-12-01,531.0,9,497.19163728307393,615.5209067923151,2011-12-13,505.0,time,7,-4.896421845574384,-5.211145035028244,15.040621224000002
TCS,IT,2011-12-07,2011-12-08,1170.0,4,1104.566753788399,1333.583115529003,2011-12-19,1139.0,time,7,-2.6495726495726513,-2.9677475071794888,14.890583335999999
GODREJIND,Unknown:GODREJIND,2011-12-15,2011-12-16,200.0,25,183.70867180301252,240.7283204924687,2011-12-19,183.70867180301252,stop,1,-8.145664098493743,-8.455395717518371,15.486580951231367
INDIABULLS,Unknown:INDIABULLS,2011-12-09,2011-12-12,148.85,34,131.290304016221,192.7492399594475,2011-12-20,131.290304016221,stop,6,-11.796906942411145,-12.101029427246631,15.391334835039185
PIRHEALTH,Unknown:PIRHEALTH,2011-12-12,2011-12-13,378.0,13,356.37842010591,432.053949735225,2011-12-22,386.0,time,7,2.1164021164021163,1.7909056444444444,15.994896632
WIPRO,IT,2011-12-12,2011-12-13,413.7,12,387.17528111026746,480.01179722433136,2011-12-22,396.05,time,7,-4.266376601401978,-4.582067682741113,15.672168042000001
CIPLA,Pharma,2011-12-20,2011-12-21,330.2,14,313.7062502331734,371.43437441706646,2011-12-30,322.3,time,7,-2.3924894003634067,-2.711059195941844,14.72684451
PIRHEALTH,Unknown:PIRHEALTH,2012-01-02,2012-01-03,383.0,12,360.01269724125683,440.46825689685795,2012-01-12,408.9,time,7,6.762402088772834,6.429768310861607,15.287848432799999
EVERONN,Unknown:EVERONN,2012-01-11,2012-01-12,399.95,12,355.6717518507453,510.6456203731367,2012-01-12,355.6717518507453,stop,0,-11.070945905551866,-11.376183630607164,14.649579376303956
CAIRN,Unknown:CAIRN,2012-01-05,2012-01-06,339.9,14,317.1688754881424,396.7278112796439,2012-01-17,340.9,time,7,0.29420417769931984,-0.028492986407770482,15.355867251199998
RCOM,Unknown:RCOM,2012-01-10,2012-01-11,81.05,60,73.11239501636715,100.89401245908212,2012-01-20,93.1,time,7,14.867365823565692,14.522280989636018,16.781475474000004
CIPLA,Pharma,2012-01-11,2012-01-12,340.0,14,324.029003657418,379.92749085645494,2012-01-23,340.75,time,7,0.22058823529411686,-0.10199583808823609,15.355001893
