symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
DIVISLAB,2013-05-22,2013-05-23,1008.0,,,2013-11-26,1159.85,time,126,9,15.064484126984112,14.719096474791652,0.34538765219246037
IFCI,2013-05-22,2013-05-23,27.5,,,2013-11-26,24.9,time,126,363,-9.45454545454546,-9.762266336000005,0.3077208814545454
CAIRN,2013-05-23,2013-05-24,279.0,,,2013-11-27,316.25,time,126,35,13.351254480286734,13.008498736021501,0.3427557442652329
TATACHEM,2013-05-23,2013-05-24,305.0,,,2013-11-27,279.0,time,126,32,-8.52459016393443,-8.83373966688525,0.3091495029508197
TATAPOWER,2013-05-23,2013-05-24,88.2,,,2013-11-27,77.1,time,126,113,-12.585034013605457,-12.887945757142871,0.302911743537415
BHEL,2013-05-24,2013-05-27,192.2,,,2013-11-28,147.25,time,126,52,-23.387096774193537,-23.673414108064506,0.28631733387096775
LITL,2013-05-28,2013-05-29,10.1,,,2013-12-02,6.05,time,126,990,-40.099009900990104,-40.35965395940595,0.2606440584158416
DLF,2013-05-31,2013-06-03,193.75,,,2013-12-05,158.0,time,126,51,-18.45161290322581,-18.74551225574194,0.29389935251612903
RELCAPITAL,2013-05-31,2013-06-03,326.55,,,2013-12-05,389.0,time,126,30,19.124177001990496,18.772552744051435,0.3516242579390599
CUMMINSIND,2013-06-03,2013-06-04,450.6,,,2013-12-06,449.5,time,126,22,-0.24411895250777693,-0.5659891306258418,0.3218701781180648
HINDALCO,2013-06-03,2013-06-04,103.7,,,2013-12-06,119.05,time,126,96,14.802314368370295,14.45732946817743,0.34498490019286404
AMBUJACEM,2013-06-05,2013-06-06,170.0,,,2013-12-10,194.25,time,126,58,14.264705882352935,13.920546870294112,0.34415901205882354
MUTHOOTFIN,2013-06-10,2013-06-11,133.05,,,2013-12-13,105.35,time,126,75,-20.81924088688464,-21.109503027733943,0.2902621408493048
NHPC,2013-06-10,2013-06-11,18.15,,,2013-12-13,18.15,time,126,550,0.0,-0.32224519999999995,0.32224519999999995
ASHOKLEY,2013-06-11,2013-06-12,21.0,,,2013-12-16,16.3,time,126,476,-22.38095238095238,-22.668815379999998,0.28786299904761903
HEXAWARE,2013-06-11,2013-06-12,83.0,,,2013-12-16,117.95,time,126,120,42.10843373493975,41.72150046421686,0.3869332707228916
IRB,2013-06-11,2013-06-12,114.0,,,2013-12-16,91.2,time,126,87,-19.999999999999996,-20.291520679999998,0.29152068000000003
JSWENERGY,2013-06-11,2013-06-12,48.95,,,2013-12-16,53.0,time,126,204,8.273748723186912,7.938793175280886,0.33495554790602655
MCLEODRUSS,2013-06-11,2013-06-12,302.75,,,2013-12-16,299.0,time,126,33,-1.2386457473162693,-1.5589881075144527,0.3203423601981834
PFC,2013-06-11,2013-06-12,171.2,,,2013-12-16,147.0,time,126,58,-14.135514018691586,-14.436043874532707,0.30052985584112146
ADANIENT,2013-06-12,2013-06-13,180.0,,,2013-12-17,261.7,time,126,55,45.38888888888888,44.996916097666656,0.3919727912222223
TITAN,2013-06-12,2013-06-13,201.0,,,2013-12-17,226.1,time,126,49,12.487562189054714,12.14613327134327,0.34142891771144285
GRASIM,2013-06-13,2013-06-14,2762.0,,,2013-12-18,2635.0,time,126,3,-4.5981173062997875,-4.913298758942799,0.3151814526430123
IOC,2013-06-13,2013-06-14,251.05,,,2013-12-18,196.05,time,126,39,-21.9079864568811,-22.196576038478394,0.2885895815972914
RECLTD,2013-06-13,2013-06-14,199.4,,,2013-12-18,207.85,time,126,50,4.237713139418253,3.9089578543129373,0.328755285105316
UNITECH,2013-06-13,2013-06-14,21.4,,,2013-12-18,15.0,time,126,467,-29.90654205607476,-30.182844048598124,0.27630199252336457
NTPC,2013-06-18,2013-06-19,146.8,,,2013-12-23,135.65,time,126,68,-7.595367847411449,-7.905944845844692,0.3105769984332425
IDFC,2013-06-20,2013-06-21,135.0,,,2013-12-26,106.5,time,126,74,-21.111111111111114,-21.400924873333338,0.28981376222222227
